batch_index,first_benchmark_seed_index,seed_count,raw_proposals,token_decodable_proposals,rdkit_valid_proposals,rdkit_unique_valid_molecules,release_policy_accepted_proposals,release_policy_unique_molecules,generation_seconds,token_decode_seconds,rdkit_validation_seconds,release_policy_seconds,serialization_seconds,raw_proposals_per_second,raw_smiles_per_second,valid_unique_molecules_per_second,policy_unique_molecules_per_second
10,20,2,2000,2000,2000,5,2000,5,0.8977698700036854,0.014628158009145409,0.25640859600389376,0.9510987589601427,0.004032388038467616,2227.742394598061,2192.025781068298,4.277867610654861,2.3585958317530067
11,22,2,2000,2000,1754,47,1754,47,0.8666313060093671,0.01404808001825586,0.21727968798950315,0.7663363429601304,0.004316346952691674,2307.7864671304437,2270.974013620513,42.80669572504201,25.21059676057412
12,24,2,2000,2000,1671,631,1671,631,2.341528457007371,0.03371307498309761,0.35130945401033387,1.0424287830246612,0.005469529016409069,854.142939845426,842.0196317146688,231.42791139421382,167.41931203391846
13,26,2,2000,2000,1619,366,1619,366,1.328238968970254,0.015073680959176272,0.21221552399219945,0.739619051979389,0.004730287007987499,1505.7531413571935,1488.8566709358897,235.2898559704517,159.46689426701911
14,28,2,2000,2000,2000,26,2000,26,1.082135559991002,0.016449799004476517,0.25480579800205305,0.9450072010513395,0.004302395973354578,1848.1972813245598,1820.5230787244009,19.211001834591876,11.312225275896738
15,30,2,2000,2000,1996,93,1996,93,1.2813145900145173,0.025496400019619614,0.2738145560142584,0.9157948520150967,0.00434082600986585,1560.8969222596147,1530.4432050634616,58.8374648458026,37.25334085242269
16,32,2,2000,2000,1969,108,1969,108,0.9347728290013038,0.014183627965394408,0.19963142997585237,0.7123487860080786,0.0046419689897447824,2139.5572677660816,2107.5782616969814,94.02850337163784,58.035290276030395
17,34,2,2000,2000,1999,90,1999,90,0.9379284110036679,0.015187148994300514,0.23499904602067545,0.7859290529740974,0.004375769000034779,2132.3589055798193,2098.381438662341,75.75026815097307,45.59169681481241
18,36,2,2000,2000,1741,63,1741,63,1.365217512997333,0.016621088958345354,0.25468359398655593,0.7732565450132824,0.0043854969553649426,1464.9680222816678,1447.3470325474009,38.49626980691667,26.14347903783875
19,38,2,2000,2000,1994,12,1994,12,1.044041596003808,0.015107374987564981,0.22279328003060073,0.7757333329645917,0.004230141988955438,1915.632487877145,1888.3084955726122,9.360796081440885,5.831823098542607
20,40,2,2000,2000,1985,27,1985,27,0.9345947219990194,0.015109903004486114,0.24176975100999698,0.8069317110348493,0.004295899998396635,2139.965006138884,2105.9179321071724,22.660999299320242,13.510767493647416
21,42,2,2000,2000,1752,374,1752,374,1.5910907569923438,0.025564656010828912,0.25767810799879953,0.8056960110552609,0.004962183011230081,1256.9993202528697,1237.1220137040268,199.5375933948345,139.55070103757836
22,44,2,2000,2000,1995,8,1995,8,1.1163217749563046,0.02006300096400082,0.19577776797814295,0.6467413689824753,0.004165311984252185,1791.5981259778657,1759.9672596636933,6.005273182797013,4.042641963526899
23,46,2,2000,2000,1885,58,1885,58,0.938560797017999,0.022900064999703318,0.22423395101213828,0.7628155340207741,0.004449944011867046,2130.922159069942,2080.1678768315546,48.9164659932946,29.766328974230174
24,48,2,2000,2000,2000,24,2000,24,0.9375112290144898,0.014608703961130232,0.20233222201932222,0.6835673109744675,0.004379065008834004,2133.307781393079,2100.5757055726003,20.78908155367006,13.057533091654118
25,50,2,2000,2000,1985,48,1985,48,1.0529380550142378,0.018986713024787605,0.26384643104393035,0.9037194669945166,0.00441519299056381,1899.4469717147379,1865.8025820774637,35.93429775470031,21.43344499134407
26,52,2,2000,2000,2000,37,2000,37,0.7747569589992054,0.013719515001866966,0.22295210196170956,0.8212729410151951,0.004411192960105836,2581.454708820565,2536.5373171518113,36.58192073995891,20.188775781127166
27,54,2,2000,2000,1996,160,1996,160,1.3221525779808871,0.028715663007460535,0.3140359310200438,1.073199161037337,0.004588659037835896,1512.6847183206958,1480.529291692225,96.1016271627155,58.43460985163918
28,56,2,2000,2000,1986,19,1986,19,0.9442719189682975,0.015479812049306929,0.1946284599835053,0.7117539650062099,0.004262236994691193,2118.033968631812,2083.8722508783,16.459048888843704,10.181475934533763
29,58,2,2000,2000,1532,27,1532,27,1.0131994030089118,0.01430714497109875,0.19111051899380982,0.6198629299760796,0.0043576579773798585,1973.945103067149,1946.4596152032589,22.15626280948849,14.686045018055081
30,60,2,2000,2000,1886,161,1886,161,1.0170593789662234,0.013906389998737723,0.19102856901008636,0.6725835520192049,0.004925864981487393,1966.453524112696,1939.928618588279,131.75183795596894,84.97935125828394
31,62,2,2000,2000,2000,3,2000,3,0.8429126919945702,0.02071936399443075,0.21921701700193807,0.695810966019053,0.004133088979870081,2372.7249796979963,2315.801024441677,2.770469195410304,1.6866629564971898
