query_position,target_index,target_hash,seed_canonical_smiles,seed_scaffold,seed_heavy_atoms
101,616741,8de6ee76b4d67c5854ab6c5a60fbe53652eb7b6f25fd3327f05c3f6797d2b3de,CC(=O)N1CCN(c2ccc(Nc3ncc4c(C)cn(C5CC5)c4n3)cc2)CC1,c1cc(N2CCNCC2)ccc1Nc1ncc2ccn(C3CC3)c2n1,29
102,238843,20d9c5f2f2e73775522b1322d77535078fed1c4c0a2f107e435590bea00695c2,CCC(C)C(=O)Nc1cccc(CNC(=O)CCc2cnn(C)c2C)c1,O=C(CCc1cn[nH]c1)NCc1ccccc1,26
103,799333,0ff2b43cf914023ab0cb6758d6cc1e0783aa091dae60374981ff0583da76d650,Nc1ncc(-c2cc(N3CC(n4cccn4)C3)nc(N3CCC(F)(F)C3)n2)cc1OC(F)F,c1cncc(-c2cc(N3CC(n4cccn4)C3)nc(N3CCCC3)n2)c1,33
104,570014,5b21a0408fc2e0fcf2bb3e54c8898f5f537da76f059fe4689d16122b8f8c37fe,CC1(C)OCc2c(NCC3CCN(c4ccccc4F)C3)nc(Cl)nc21,c1ccc(N2CCC(CNc3ncnc4c3COC4)C2)cc1,26
105,993198,1f978902a0d178032eff56f4d47372e61de2ef9648bf846694392c7966ae4e8e,CC(C)CC1CCCCN1C(=O)C(=O)Nc1ccn(CC(F)F)n1,O=C(Nc1cc[nH]n1)C(=O)N1CCCCC1,24
106,113484,4fcead79fe9cbafb5514c0926fe6bc61eeebf42410a9f5c36af78e9ec9c8b43d,COC1CCC(CNC(=O)N2CC3COCC3(c3ccccc3)C2)CC1,O=C(NCC1CCCCC1)N1CC2COCC2(c2ccccc2)C1,26
107,64894,d83da09fe72e1691a881a163b309738c775903aae5031216b1ee63bce78f04d1,CCC(C)NC(=O)C(C)[NH+]1CCC(c2ccccc2)C1C,c1ccc(C2CC[NH2+]C2)cc1,21
108,918693,a3a59028b04a01d4c9410267ffe85e03e01325413a72bbed000b7dd6708e0e02,CCOc1ccccc1OCC(=O)Nc1ccc(C(=O)N(C)C)cc1,O=C(COc1ccccc1)Nc1ccccc1,25
109,630824,38f564c81695431406eb0175ac689a09ca9447cfe8b7d17ce73fea6d3b859988,CCc1cc(C(=O)NC2CC(Nc3ccc([N+](=O)[O-])c(C)c3)C2)[nH]n1,O=C(NC1CC(Nc2ccccc2)C1)c1ccn[nH]1,25
110,359824,eb8e1c59e35bbca7eabecccd463ddd691407363a7164f0cd2ec2a8122e1b26b3,CCC1(NCC2CC(O)CN2)CCC1,C1CC(NCC2CCCN2)C1,14
111,356283,5a58cbf8787913e307120680469544edcbed052023d9addafd4b092f0604cb34,COCCCOC1CCN(C(=O)C(=O)NCc2cccc(F)n2)CC1,O=C(NCc1ccccn1)C(=O)N1CCCCC1,25
112,286553,ba5d18c830872fcb59d084c10974abeddbab86a89d339ac2891b07cb31078397,CC(C)OCCCNC(=O)CNC(=O)C1(C)Cn2c(cc3ccccc32)C(=O)N1C,O=C1NCCn2c1cc1ccccc12,30
113,173996,c92fea61981f1e7112f4556f0faa3ee12884af458a011aaf04ace2e6d338fe36,O=C(c1ccc2ccccc2n1)N1CCCCC2(CO)CCN(CC2)Cc2ccccc2OCC1,O=C(c1ccc2ccccc2n1)N1CCCCC2CCN(CC2)Cc2ccccc2OCC1,35
114,162394,7197346e1a02dc2bdf2c58c06e503f6e886e6db2f91130b4dc81702146295a96,CC(CC(=O)N(CC[NH+](C)C)Cc1ccccc1)c1cnn(C)c1,O=C(CCc1cn[nH]c1)NCc1ccccc1,24
115,940184,80ac611590774d8ee79ea969597ca27768b1ca6e8a455a31a5eae7ab92f2e7d0,Cc1cccc(Cl)c1N=NC1CCOC1C,c1ccc(N=NC2CCOC2)cc1,16
116,432759,e0968e1988e745c05514e99e8186dc7aa970e05861e741889a183a255d702dd5,Cc1nc(C(O)c2cc(F)ccc2Cl)cs1,c1ccc(Cc2cscn2)cc1,16
117,517757,6294721297217b469a48b613b1b2d7780084f0b41aae41b257e08fa8df329cef,CCC1CC[NH+](C(C)c2ccc(OC(F)F)cc2)CC1,c1ccc(C[NH+]2CCCCC2)cc1,20
118,205511,fcf7b78680408b703cca50052efc441e926e5c4e6b1b81d381b798f10bb5c39c,Fc1cc(F)cc(OC2CCCC2NCc2cscn2)c1,c1ccc(OC2CCCC2NCc2cscn2)cc1,21
119,165184,b8c92ec119110ade35dc7c0140e97245fdd78d45c96b578e4d8e9c699956e4cc,COc1ccc(C2CN(C=O)CC2(C)C(C)O)cc1OCC#Cc1ccc(C(F)(F)F)cc1,C(#Cc1ccccc1)COc1cccc(C2CCNC2)c1,33
120,136868,46a11f787d2682f342b845cc71504c432b801400cd640034c32c491650a4b5f5,O=C(c1cnc(F)c(Br)c1)N1CC2(CCOCC2)C1c1ccco1,O=C(c1cccnc1)N1CC2(CCOCC2)C1c1ccco1,24
121,774024,b26342e599825c526048edfa9ce1d0294e03f35f5e9b529469ee72aef625cf14,CC(C)NC(=O)N(Cc1cccnc1)Cc1nccn1Cc1ccccc1F,c1ccc(Cn2ccnc2CNCc2cccnc2)cc1,28
122,505530,1fc63c2f12d0434ab39eafac880d0ed1b16021a1e04274876c7ef743286a48aa,CCC1(CC)CCN(C(=O)NCC2CN(CC(C)C)CCO2)C1,O=C(NCC1CNCCO1)N1CCCC1,23
123,96533,55f74a88e4890b4fa7fefd78cb58a5da37e4421417d7504fdf616f95cb4446f8,CC(C)(C)OC(=O)Nc1cc(Cl)ccc1C1(CN)CC(F)(F)C1,c1ccc(C2CCC2)cc1,23
124,329529,3430e3ba28c72fa58ba8a960c10c118f2924ea51958de7e5d16f086a0ec97200,O=C(CN1CCC(Cn2cccn2)CC1)N1CCN(c2ccccc2)CC1,O=C(CN1CCC(Cn2cccn2)CC1)N1CCN(c2ccccc2)CC1,27
125,467474,e776ceceabf94a8222a87e385f3efaf62abb266f6d40cc45a63a3382507de691,CS(=O)(=O)c1cccc(CNc2ccn(CC(=O)N3CCOCC3)n2)c1,O=C(Cn1ccc(NCc2ccccc2)n1)N1CCOCC1,26
