frequency_rank,seed_to_candidate_transform,seed_substituent,candidate_substituent,mmp_edit_class,variable_heavy_atom_delta,candidate_count,seed_count,unique_candidate_molecules,ambiguous_explanation_count,mean_morgan_to_seed,median_morgan_to_seed,median_core_heavy_atoms
3331,CN1C(=O)CCC1[*:1]>>CN1CCC([*:1])C1=O,CN1C(=O)CCC1[*:1],CN1CCC([*:1])C1=O,equal_heavy_atom_replacement,0.0,2,2,2,0,0.6455026,0.6455026,17.5
3332,CN1CC(=O)N([*:1])C1=O>>CN1C(=O)CN([*:1])C1=O,CN1CC(=O)N([*:1])C1=O,CN1C(=O)CN([*:1])C1=O,equal_heavy_atom_replacement,0.0,2,2,2,2,0.7134634,0.7134634,16.5
3333,CN1CC([*:1])CC1=O>>CC1=CC([*:1])C(=O)N1,CN1CC([*:1])CC1=O,CC1=CC([*:1])C(=O)N1,equal_heavy_atom_replacement,0.0,2,2,2,2,0.63825756,0.63825756,18.0
3334,CN1CC([*:1])CC1=O>>CC1=CC([*:1])CN1C,CN1CC([*:1])CC1=O,CC1=CC([*:1])CN1C,equal_heavy_atom_replacement,0.0,2,2,2,2,0.6958248,0.6958248,18.0
3335,CN1CC([*:1])CC1=O>>O=S1CC([*:1])C1,CN1CC([*:1])CC1=O,O=S1CC([*:1])C1,substituent_truncation,-2.0,2,2,2,1,0.7372735,0.7372735,16.5
3336,CN1CC([*:1])NC1=O>>CN1CC(=O)NC([*:1])C1,CN1CC([*:1])NC1=O,CN1CC(=O)NC([*:1])C1,substituent_growth,1.0,2,2,2,0,0.78012323,0.78012323,17.0
3337,CN1CC([*:1])NC1=O>>CN1CC([*:1])C(=O)N1,CN1CC([*:1])NC1=O,CN1CC([*:1])C(=O)N1,equal_heavy_atom_replacement,0.0,2,2,2,0,0.71547616,0.71547616,17.0
3338,CN1CC([*:1])NC1=O>>CN1CC([*:1])C1=O,CN1CC([*:1])NC1=O,CN1CC([*:1])C1=O,substituent_truncation,-1.0,2,2,2,0,0.7639854,0.7639854,17.0
3339,CN1CC([*:1])NC1=O>>CN1CNC([*:1])C1=O,CN1CC([*:1])NC1=O,CN1CNC([*:1])C1=O,equal_heavy_atom_replacement,0.0,2,2,2,0,0.70140517,0.70140517,17.0
3340,CN1CCC([*:1])C1=O>>CN1C=C([*:1])CC1,CN1CCC([*:1])C1=O,CN1C=C([*:1])CC1,substituent_truncation,-1.0,2,2,2,0,0.5949453,0.5949453,16.5
3341,CN1CCC([*:1])C1=O>>CN1CC([*:1])C1=O,CN1CCC([*:1])C1=O,CN1CC([*:1])C1=O,substituent_truncation,-1.0,2,2,2,1,0.83918405,0.83918405,19.0
3342,CN1CCC([*:1])C1=O>>CN1CCCC([*:1])C1=O,CN1CCC([*:1])C1=O,CN1CCCC([*:1])C1=O,substituent_growth,1.0,2,2,2,0,0.9122641,0.9122641,16.5
3343,CN1CCC([*:1])CC1>>CN1CCCC([*:1])C1,CN1CCC([*:1])CC1,CN1CCCC([*:1])C1,equal_heavy_atom_replacement,0.0,2,2,2,0,0.80346155,0.80346155,16.5
3344,CN1CCCC1C(=O)N[*:1]>>CNC(=O)C1CCCN1[*:1],CN1CCCC1C(=O)N[*:1],CNC(=O)C1CCCN1[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.6479775,0.6479775,14.5
3345,CN1CCN([*:1])CC1>>CC1CCN([*:1])CC1,CN1CCN([*:1])CC1,CC1CCN([*:1])CC1,equal_heavy_atom_replacement,0.0,2,2,2,0,0.755,0.755,18.5
3346,CN1CCN([*:1])CC1>>CC1CN([*:1])CCN1,CN1CCN([*:1])CC1,CC1CN([*:1])CCN1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.6567193,0.6567193,15.5
3347,CN1CCN([*:1])CC1>>CC1CN([*:1])CCN1C,CN1CCN([*:1])CC1,CC1CN([*:1])CCN1C,substituent_growth,1.0,2,2,2,0,0.7203978,0.7203978,14.0
3348,CN1CCN([*:1])CC1>>CC1CN([*:1])CCO1,CN1CCN([*:1])CC1,CC1CN([*:1])CCO1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.66333336,0.66333336,14.5
3349,CN1CCN([*:1])CC1>>C[NH+]1CCN([*:1])CC1,CN1CCN([*:1])CC1,C[NH+]1CCN([*:1])CC1,equal_heavy_atom_replacement,0.0,2,2,2,0,0.7416667,0.7416667,14.5
3350,CN1CCOC([*:1])C1>>CN1CCOC([*:1])CC1,CN1CCOC([*:1])C1,CN1CCOC([*:1])CC1,substituent_growth,1.0,2,2,2,0,0.86452246,0.86452246,17.5
3351,CN1CCOC([*:1])C1>>CN1COCC([*:1])C1,CN1CCOC([*:1])C1,CN1COCC([*:1])C1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.6458334,0.6458334,18.0
3352,CN1CCOCC1[*:1]>>CC1COCCN1C[*:1],CN1CCOCC1[*:1],CC1COCCN1C[*:1],substituent_growth,1.0,2,2,2,1,0.67519,0.67519,14.0
3353,CN1CCOCC1[*:1]>>CN1CCSCC1[*:1],CN1CCOCC1[*:1],CN1CCSCC1[*:1],equal_heavy_atom_replacement,0.0,2,2,2,2,0.681391,0.681391,15.0
3354,CNC(=O)C[*:1]>>CNC(=O)[*:1],CNC(=O)C[*:1],CNC(=O)[*:1],substituent_truncation,-1.0,2,2,2,1,0.7729592,0.7729592,18.0
3355,CNC(=O)NC[*:1]>>CNC(=O)NC(C)[*:1],CNC(=O)NC[*:1],CNC(=O)NC(C)[*:1],substituent_growth,1.0,2,2,2,0,0.6377551,0.6377551,14.0
3356,CNC(=O)N[*:1]>>CC(=O)N[*:1],CNC(=O)N[*:1],CC(=O)N[*:1],substituent_truncation,-1.0,2,2,2,2,0.764652,0.764652,15.0
3357,CNC(=O)N[*:1]>>CNC(=O)NC[*:1],CNC(=O)N[*:1],CNC(=O)NC[*:1],substituent_growth,1.0,2,2,2,2,0.8072562,0.8072562,17.0
3358,CNC(=O)N[*:1]>>NC(=O)N[*:1],CNC(=O)N[*:1],NC(=O)N[*:1],substituent_truncation,-1.0,2,2,2,0,0.7967033,0.7967033,20.5
3359,CNC(=O)N[*:1]>>O=CN[*:1],CNC(=O)N[*:1],O=CN[*:1],substituent_truncation,-2.0,2,2,2,1,0.70884657,0.70884657,18.0
3360,CNC(=O)[*:1]>>CNC(=O)C[*:1],CNC(=O)[*:1],CNC(=O)C[*:1],substituent_growth,1.0,2,2,2,1,0.7025974,0.7025974,18.5
3361,CNS(=O)(=O)[*:1]>>CNS(=O)(=O)C[*:1],CNS(=O)(=O)[*:1],CNS(=O)(=O)C[*:1],substituent_growth,1.0,2,2,2,0,0.7224359,0.7224359,19.0
3362,CNS(=O)(=O)[*:1]>>CS(=O)(=O)N[*:1],CNS(=O)(=O)[*:1],CS(=O)(=O)N[*:1],equal_heavy_atom_replacement,0.0,2,2,2,1,0.7246506,0.7246506,22.0
3363,CN[*:1]>>Br[*:1],CN[*:1],Br[*:1],substituent_truncation,-1.0,2,2,2,2,0.7362319,0.7362319,16.0
3364,CN[*:1]>>CNN[*:1],CN[*:1],CNN[*:1],substituent_growth,1.0,2,2,2,1,0.6883117,0.6883117,8.5
3365,CN[*:1]>>CO[*:1],CN[*:1],CO[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.72049576,0.72049576,19.0
3366,COC(=O)C=C[*:1]>>COC(=O)[*:1],COC(=O)C=C[*:1],COC(=O)[*:1],substituent_truncation,-2.0,2,2,2,0,0.66551363,0.66551363,16.5
3367,COC(=O)[*:1]>>CC(=O)O[*:1],COC(=O)[*:1],CC(=O)O[*:1],equal_heavy_atom_replacement,0.0,2,2,2,1,0.7277961,0.7277961,19.5
3368,COC(=O)[*:1]>>O=C(F)[*:1],COC(=O)[*:1],O=C(F)[*:1],substituent_truncation,-1.0,2,2,2,1,0.7735849,0.7735849,19.5
3369,COC(=O)[*:1]>>O=C(O[O-])[*:1],COC(=O)[*:1],O=C(O[O-])[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.81395346,0.81395346,16.0
3370,COC(C)(C1CC1)[*:1]>>COC(C1CC1)[*:1],COC(C)(C1CC1)[*:1],COC(C1CC1)[*:1],substituent_truncation,-1.0,2,2,2,1,0.5702306,0.5702306,18.0
3371,COC(C)(C1CC1)[*:1]>>COC1([*:1])CC1C,COC(C)(C1CC1)[*:1],COC1([*:1])CC1C,substituent_truncation,-1.0,2,2,2,0,0.51785713,0.51785713,16.0
3372,COC(C)C(=O)N[*:1]>>COC(C)C(=O)NC[*:1],COC(C)C(=O)N[*:1],COC(C)C(=O)NC[*:1],substituent_growth,1.0,2,2,2,0,0.7355728,0.7355728,13.5
3373,COC(C)[*:1]>>COC(C)(C)[*:1],COC(C)[*:1],COC(C)(C)[*:1],substituent_growth,1.0,2,2,2,2,0.63280296,0.63280296,16.0
3374,COC(C)c1noc([*:1])n1>>COC(C)c1nc([*:1])no1,COC(C)c1noc([*:1])n1,COC(C)c1nc([*:1])no1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.712537,0.712537,16.0
3375,COC(C1CC1)[*:1]>>CC(OC1CC1)[*:1],COC(C1CC1)[*:1],CC(OC1CC1)[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.6962366,0.6962366,17.0
3376,COC(C1CC1)[*:1]>>COC1([*:1])CC1,COC(C1CC1)[*:1],COC1([*:1])CC1,substituent_truncation,-1.0,2,2,2,0,0.57124996,0.57124996,12.5
3377,COC1([*:1])CCC1>>COC1(C[*:1])CCC1,COC1([*:1])CCC1,COC1(C[*:1])CCC1,substituent_growth,1.0,2,2,2,2,0.7652439,0.7652439,16.5
3378,COC1([*:1])CCCC1>>COC1([*:1])C=CCC1,COC1([*:1])CCCC1,COC1([*:1])C=CCC1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.6645454,0.6645454,14.0
3379,COC1([*:1])CCCC1>>COC1([*:1])CCC1,COC1([*:1])CCCC1,COC1([*:1])CCC1,substituent_truncation,-1.0,2,2,2,1,0.95261985,0.95261985,14.0
3380,COC1([*:1])CCCCC1>>COC1([*:1])CCCC1,COC1([*:1])CCCCC1,COC1([*:1])CCCC1,substituent_truncation,-1.0,2,2,2,1,0.97821975,0.97821975,14.5
3381,COC1CC(C[*:1])C1>>COC1CC([*:1])C1,COC1CC(C[*:1])C1,COC1CC([*:1])C1,substituent_truncation,-1.0,2,2,2,1,0.74375,0.74375,14.0
3382,COC1CC([*:1])C12CCC2>>COC1(C)CC([*:1])C12CCC2,COC1CC([*:1])C12CCC2,COC1(C)CC([*:1])C12CCC2,substituent_growth,1.0,2,2,2,0,0.6901515,0.6901515,16.5
3383,COC1CC([*:1])C12CCC2>>COC12CCC1C([*:1])CC2,COC1CC([*:1])C12CCC2,COC12CCC1C([*:1])CC2,equal_heavy_atom_replacement,0.0,2,2,2,0,0.59006214,0.59006214,16.5
3384,COC1CC([*:1])C12CCC2>>COC12CCCC1C([*:1])C2,COC1CC([*:1])C12CCC2,COC12CCCC1C([*:1])C2,equal_heavy_atom_replacement,0.0,2,2,2,0,0.58743227,0.58743227,16.5
3385,COC1CC([*:1])C12CCC2>>COC1C([*:1])C12CCC2,COC1CC([*:1])C12CCC2,COC1C([*:1])C12CCC2,substituent_truncation,-1.0,2,2,2,0,0.7595141,0.7595141,16.5
3386,COC1CC([*:1])C1>>COB1CC([*:1])C1,COC1CC([*:1])C1,COB1CC([*:1])C1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.72290254,0.72290254,13.5
3387,COC1CCC([*:1])C1>>COC1CCC1[*:1],COC1CCC([*:1])C1,COC1CCC1[*:1],substituent_truncation,-1.0,2,2,2,1,0.68272424,0.68272424,14.0
3388,COC1CCC1[*:1]>>COC1CC([*:1])C1,COC1CCC1[*:1],COC1CC([*:1])C1,equal_heavy_atom_replacement,0.0,2,2,2,0,0.64111114,0.64111114,13.5
3389,COC1CCC1[*:1]>>COC1CC1[*:1],COC1CCC1[*:1],COC1CC1[*:1],substituent_truncation,-1.0,2,2,2,0,0.79241776,0.79241776,13.5
3390,COC1CCC1[*:1]>>COC1CCC([*:1])C1,COC1CCC1[*:1],COC1CCC([*:1])C1,substituent_growth,1.0,2,2,2,0,0.6354337,0.6354337,13.5
3391,COC1CCCCC1[*:1]>>COC1CCCC1[*:1],COC1CCCCC1[*:1],COC1CCCC1[*:1],substituent_truncation,-1.0,2,2,2,0,0.95481634,0.95481634,13.0
3392,COC1COCC1[*:1]>>COC1CCOC1[*:1],COC1COCC1[*:1],COC1CCOC1[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.71059114,0.71059114,14.5
3393,COC1COCC1[*:1]>>COC1OCCC1[*:1],COC1COCC1[*:1],COC1OCCC1[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.70634925,0.70634925,15.5
3394,COCC(C)C[*:1]>>COCCC(C)[*:1],COCC(C)C[*:1],COCCC(C)[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.61962175,0.61962175,11.5
3395,COCC(C)[*:1]>>COCC[*:1],COCC(C)[*:1],COCC[*:1],substituent_truncation,-1.0,2,2,2,0,0.69651425,0.69651425,16.5
3396,COCC(O)C[*:1]>>COCC(CO)[*:1],COCC(O)C[*:1],COCC(CO)[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.65986395,0.65986395,14.0
3397,COCC(O)[*:1]>>COCC(C)O[*:1],COCC(O)[*:1],COCC(C)O[*:1],substituent_growth,1.0,2,2,2,2,0.7563595,0.7563595,18.0
3398,COCC(OC)[*:1]>>COCOC(C)[*:1],COCC(OC)[*:1],COCOC(C)[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.7273224,0.7273224,17.5
3399,COCC1([*:1])CC1>>COCC1(O[*:1])CC1,COCC1([*:1])CC1,COCC1(O[*:1])CC1,substituent_growth,1.0,2,2,2,2,0.7101677,0.7101677,15.0
3400,COCC1([*:1])CC1>>COCC1([*:1])CCC1,COCC1([*:1])CC1,COCC1([*:1])CCC1,substituent_growth,1.0,2,2,2,1,0.9255556,0.9255556,15.5
3401,COCC1([*:1])CCC1>>COCC1([*:1])C=CC1,COCC1([*:1])CCC1,COCC1([*:1])C=CC1,equal_heavy_atom_replacement,0.0,2,2,2,0,0.6787879,0.6787879,13.5
3402,COCC1([*:1])CCCCC1>>COCC1([*:1])CCCC1,COCC1([*:1])CCCCC1,COCC1([*:1])CCCC1,substituent_truncation,-1.0,2,2,2,0,0.9785682,0.9785682,15.0
3403,COCCC(C)[*:1]>>COC(C)CC[*:1],COCCC(C)[*:1],COC(C)CC[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.68103445,0.68103445,17.5
3404,COCCC1([*:1])CC1>>COCC1(C[*:1])CC1,COCCC1([*:1])CC1,COCC1(C[*:1])CC1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.643007,0.643007,14.0
3405,COCCC1([*:1])CCC1>>COCC1(C[*:1])CCC1,COCCC1([*:1])CCC1,COCC1(C[*:1])CCC1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.7304782,0.7304782,15.0
3406,COCCC1([*:1])CCC1>>COCCC1([*:1])CC1,COCCC1([*:1])CCC1,COCCC1([*:1])CC1,substituent_truncation,-1.0,2,2,2,1,0.94039214,0.94039214,15.0
3407,COCCN[*:1]>>COCNC[*:1],COCCN[*:1],COCNC[*:1],equal_heavy_atom_replacement,0.0,2,2,2,2,0.6653595,0.6653595,13.5
3408,COCC[*:1]>>C[*:1],COCC[*:1],C[*:1],substituent_truncation,-3.0,2,2,2,1,0.79569376,0.79569376,20.5
3409,COC[*:1]>>COC#C[*:1],COC[*:1],COC#C[*:1],substituent_growth,1.0,2,2,2,2,0.6961539,0.6961539,17.0
3410,COC[*:1]>>N#C[*:1],COC[*:1],N#C[*:1],substituent_truncation,-1.0,2,2,2,1,0.6421182,0.6421182,15.0
3411,COC[*:1]>>[CH2-][*:1],COC[*:1],[CH2-][*:1],substituent_truncation,-2.0,2,2,2,1,0.69435215,0.69435215,17.5
