benchmark_seed_index,source_panel_row,query_position,target_index,target_hash,seed_canonical_smiles,seed_scaffold,seed_heavy_atoms
73,7250,7250,16018,5f142909a0346fab8b234f746a93372a34e55ade966f71db7d7d111406a0dfdb,CN1CCc2ccc(Nc3cccc(CC[NH+]4CCOCC4)c3)cc21,c1cc(CC[NH+]2CCOCC2)cc(Nc2ccc3c(c2)NCC3)c1,25
74,602,602,24107,b2229116b3032b44aaa001fc275a65a2709231ae1c17a09a9cb92cf7da153c3c,CCN(C(=O)C1=CCCC1)C1CCN(C(=O)c2cnnn2C)C1,O=C(NC1CCN(C(=O)c2cnn[nH]2)C1)C1=CCCC1,23
75,3220,3220,30124,5e1124bfd871329a8d97921e8be61aa4836303c7a3f8ebc32ab6fd24c3a08cc6,O=C(O)c1ccsc1NC(=O)C1COCCO1,O=C(Nc1cccs1)C1COCCO1,17
76,1959,1959,18786,a58719e06f38c072f2e08f99d2a209e72e442ee2aadb5085f50f0fc59c00b00e,NSc1ccc(-c2cncc(-c3cnc4c(c3)CCCN4C(N)=O)c2)cc1,c1ccc(-c2cncc(-c3cnc4c(c3)CCCN4)c2)cc1,27
77,3578,3578,16519,04857f3971460272ed47f687eeac626c0993d5996ac597edd69b3d31f857a179,COc1cc2nc(C=Cc3ccccc3Cl)n(-c3ccncc3)c(=O)c2cc1OC,O=c1c2ccccc2nc(C=Cc2ccccc2)n1-c1ccncc1,30
78,3277,3277,34317,570b2e457f282bf241f68a077128ec0f0afcde4554906795c37d8717ad0e1a24,COc1ccccc1C1CCCN1C(=O)N1CCc2ccccc2C1,O=C(N1CCc2ccccc2C1)N1CCCC1c1ccccc1,25
79,3866,3866,28211,ec72c9d03df1cfecd8ee2a4dcae3e7504a780f4bc90a154b2b32128efa366a3c,COCC1(CN2CC[NH+](C3CCC3)CC(C)C2)CCC1,C1CC(CN2CCC[NH+](C3CCC3)CC2)C1,20
80,5520,5520,25733,91fc3ef05749566c87c6cc5863fa7b769258f4c03346626cb81bfae0df57ef83,CC1CC(Nc2cccc(N3CCCS3(=O)=O)c2)C(C)O1,O=S1(=O)CCCN1c1cccc(NC2CCOC2)c1,21
81,7867,7867,22561,8042916d9e5ab58923b08aed5e84f2f9f2adde1c99f916c2397c69494959d168,NC1CC1NC(=O)Cc1cccs1,O=C(Cc1cccs1)NC1CC1,13
82,3895,3895,10263,4b522287dc8d0d560b670079ad1c5fdef2cd0ffac959ebf54528f55b4435eee9,CCCCC1CCC(C#Cc2ccc(F)nc2)CC1,C(#CC1CCCCC1)c1cccnc1,19
83,820,820,18803,a7f110626637cf2741dbb1f748003e945f95f85b07b83cea35b8c3882df8e1bf,CCOc1c(F)cccc1C(=O)Nc1ccc(C(=O)N2CC(C)OC(C)C2)cc1,O=C(Nc1ccc(C(=O)N2CCOCC2)cc1)c1ccccc1,29
84,483,483,39361,7df5852aadf0cdb48505325fdff4b6c398aa70b40ae747adf638b2a161730b04,COC(=O)c1cc(N)c(Nc2cnc(N)c(C)c2)c(Br)c1,c1ccc(Nc2cccnc2)cc1,21
85,9712,9712,40543,8d18f19a725c19fc95f197dc9abdcfd2fce9a0021f1cab49f168e3bcea7cde4c,COc1ncccc1Nc1ccc(NC(C)=O)c(Cl)c1,c1ccc(Nc2cccnc2)cc1,20
86,2453,2453,40,98a9c0332e9c25bc16a9ac48443a0ee99eab67116a50a1d9ba7124f36a99a6cf,COc1ccc(N(C)c2ccc(C#N)nc2)cc1,c1ccc(Nc2cccnc2)cc1,18
87,593,593,8080,ce369233b979ff7ee2461c8197edf1f30fc1a57ee90f05da31dc748b408dd95b,N#Cc1c(Br)cccc1N1C2CCC1CC(N)C2,c1ccc(N2C3CCCC2CC3)cc1,18
88,9647,9647,35028,d5c7121e1f2318f0836c7f6d9a2c47db2b7f7c9caaff51fb2f9f37637b68200b,CCOC(=O)c1cc2ccccc2cc1NC(=O)CN(C)c1ncnc2[nH]cnc12,O=C(CNc1ncnc2[nH]cnc12)Nc1ccc2ccccc2c1,30
89,2707,2707,16165,db9f316d0a0f9dc874db50a4884219a8874fb251e1e3a29af08b64f85c119bfe,CC1CC(COC(=O)C(F)c2ccccc2)CCO1,O=C(Cc1ccccc1)OCC1CCOCC1,19
90,932,932,28318,9a410c4818dbee6e9d7ebb4d037d8ac2362a776055ba0dd4606d31d2cd07361d,COCCC1(C(=O)N2CCCC(C3CCC[NH+]3CCO)C2)CC1,O=C(C1CC1)N1CCCC(C2CCC[NH2+]2)C1,23
91,2906,2906,28063,972bafcdb0bd678f21d3a7b695ec9ced85c23d3933150059303a6e3a31f66a32,Cc1ccc(OCC2CCCN(C(=O)OC(C)(C)C)C2)c(NC(=O)Nc2cnc(C)cn2)c1,O=C(Nc1cnccn1)Nc1ccccc1OCC1CCCNC1,33
92,276,276,29877,53e87a9a9f54ccb852b523a996731c4d022f00f66b97b80437c61a3b5f25a438,CC(NC(=O)C1CCCN1c1ncccn1)C1CC[NH+](C(C)C)CC1,O=C(NCC1CC[NH2+]CC1)C1CCCN1c1ncccn1,25
93,6398,6398,17511,eec4e6b3550d31f0cf3c1cf36021c2e3ac090fbaac65d3fe4d6a331b8fcde184,CC(CCNCCc1cccs1)N1CCNCC1,c1csc(CCNCCCN2CCNCC2)c1,18
94,6330,6330,15677,7cec0f1a8d1d27d29cad04a6dff4147b48b69b794d9517bb2ea6853c5059bafc,CC1CCN(C(=O)c2ccn(-c3ccccc3[N+](=O)[O-])n2)CC1CO,O=C(c1ccn(-c2ccccc2)n1)N1CCCCC1,25
95,4706,4706,25369,688585ead5a5b0ef185dc77993ca3fd8a9b201aac92d24a89a8fea9afd0678d2,Cc1noc(C)c1CCC(=O)NC1CCC(Oc2ccc(C(F)(F)F)cn2)CC1,O=C(CCc1cnoc1)NC1CCC(Oc2ccccn2)CC1,29
96,4204,4204,23136,8be7298006d3137848840bc61f90a4d7542297094e7962f46746d85c3e488242,Cc1nn(C)c(Cl)c1C[NH2+]C1CC1(C)C,c1n[nH]cc1C[NH2+]C1CC1,15
97,384,384,7641,237aa92555e4f76d0f3b7154bb928f8063b2f524927b64474a36b430dde1ee32,O=C(NC1CCC[NH2+]CC1)NC1CC[NH+](Cc2ccc(F)cc2)CC1,O=C(NC1CCC[NH2+]CC1)NC1CC[NH+](Cc2ccccc2)CC1,25
98,2571,2571,21770,23cde49af991234b7017310b6b28e9bd5614a4c9ef1674d48c5fac6bd13b3cd9,COc1ccc(C(CNC(=O)C2c3ccccc3CN(C)C2C)N(C)C)cc1,O=C(NCCc1ccccc1)C1CNCc2ccccc21,28
99,6220,6220,49245,d81ea758daae5faa5dd0dcaaa978f424f78197dc2b06dfcfaa642b07e11d1b66,CC(NC(=O)c1cccn1C)C1CCN(C(=O)C2(C(F)F)CC2)C1,O=C(NCC1CCN(C(=O)C2CC2)C1)c1ccc[nH]1,24
