space,method,queries,transformations,exact_derivative_recall_at_1_pair_mean,exact_derivative_recall_at_1_macro_transform_mean,exact_derivative_recall_at_10_pair_mean,exact_derivative_recall_at_10_macro_transform_mean,reciprocal_rank_within_50_pair_mean,reciprocal_rank_within_50_macro_transform_mean,scaffold_retention_pair_mean,scaffold_retention_macro_transform_mean,mmp_consistency_pair_mean,mmp_consistency_macro_transform_mean,exact_requested_transform_pair_mean,exact_requested_transform_macro_transform_mean,seed_retrieved_tanimoto_pair_mean,seed_retrieved_tanimoto_macro_transform_mean
mean_node_128,isotropic,2048,1141,0.31119791666666663,0.2973512513389813,0.67724609375,0.6631122796766968,0.43545783119963555,0.421755306834612,0.9490559895833333,0.9469276463141493,0.49381510416666663,0.49040802415035545,0.31119791666666663,0.2973512513389813,0.5767564064419702,0.5724894094923916
mean_node_128,local_covariance,2048,1141,0.25406901041666663,0.24388937579121622,0.5740559895833333,0.5628590904664524,0.3603439112910231,0.348688715373721,0.83056640625,0.8239848086473854,0.3855794270833333,0.38221832700360303,0.25406901041666663,0.24388937579121622,0.5052735922526488,0.5010386026310371
mean_node_128,mismatched_mmp_direction,2048,1141,0.29345703125,0.2817703768624014,0.6162109375,0.6048787613204791,0.39979122737885475,0.38835623097478894,0.85205078125,0.8442886356996786,0.4267578125,0.4231668127373649,0.29345703125,0.2817703768624014,0.5258943050763353,0.5204242963111092
mean_node_128,mmp_direction,2048,1141,0.96240234375,0.9601226993865031,0.99853515625,0.9983932223196027,0.9781652233129284,0.9770999559890883,0.986328125,0.9782354659655274,0.97119140625,0.9687408705813613,0.96240234375,0.9601226993865031,0.6939931717025276,0.6884795922278404
mean_node_128,seed_nn,2048,1141,0.32373046875,0.3073327490505405,0.69189453125,0.6783523225241017,0.4478451262712213,0.43261631136146883,0.9609375,0.9586619924043238,0.5068359375,0.5033596260590125,0.32373046875,0.3073327490505405,0.5859317684181957,0.581219843514825
released_hybrid_w3,global_covariance,2048,1141,0.28385416666666663,0.27193494984906025,0.6241861979166666,0.6125718180932904,0.3983749551873884,0.38542957681410583,0.8914388020833333,0.8874768721394488,0.4435221354166667,0.4395754211705132,0.28385416666666663,0.27193494984906025,0.5462647953505018,0.5415386666319638
released_hybrid_w3,interpolation_0.25,2048,1141,0.48388671875,0.4645048203330412,0.87451171875,0.8635699678644463,0.6221330744409923,0.6066930613561772,0.98095703125,0.9758983347940403,0.64453125,0.6368682442302075,0.48388671875,0.4645048203330412,0.6269761674414169,0.6215998979549506
released_hybrid_w3,interpolation_0.50,2048,1141,0.89306640625,0.8850423605024831,0.99169921875,0.9890446976336547,0.9342785131383939,0.928245177251853,0.986328125,0.9782354659655274,0.93212890625,0.925065731814198,0.89306640625,0.8850423605024831,0.6869429940693161,0.6808233297208469
released_hybrid_w3,interpolation_0.75,2048,1141,0.99853515625,0.9978089395267309,1.0,1.0,0.999267578125,0.9989044697633654,0.986328125,0.9782354659655274,0.99853515625,0.9978089395267309,0.99853515625,0.9978089395267309,0.7005905680653219,0.6959250423588152
released_hybrid_w3,interpolation_1.00,2048,1141,1.0,1.0,1.0,1.0,1.0,1.0,0.986328125,0.9782354659655274,1.0,1.0,1.0,1.0,0.7009417364430224,0.6964575498707976
released_hybrid_w3,isotropic,2048,1141,0.31770833333333337,0.30105170902716916,0.7003580729166667,0.6882364397701821,0.44464204359984566,0.4293538608423891,0.95703125,0.9551562956470931,0.50244140625,0.4987827441815172,0.31770833333333337,0.30105170902716916,0.5857309695879338,0.5814857182000315
released_hybrid_w3,local_covariance,2048,1141,0.2596028645833333,0.24520401207517767,0.5926106770833333,0.5802901937871263,0.37156624171923675,0.35786612693350656,0.8440755208333334,0.8347453500827733,0.40283203125,0.39628980426526433,0.2596028645833333,0.24520401207517767,0.5153867983629725,0.5083655237836625
released_hybrid_w3,mismatched_mmp_direction,2048,1141,0.294921875,0.2839614373356705,0.63623046875,0.6300029214139643,0.41024328590953774,0.39932372993188786,0.88232421875,0.8724802804557406,0.4462890625,0.4424481449021326,0.294921875,0.2839614373356705,0.5415903240898511,0.5355253957766346
released_hybrid_w3,mmp_direction,2048,1141,0.97119140625,0.9693251533742331,0.9990234375,0.9988314344142566,0.9837722011061855,0.9829841791279127,0.986328125,0.9782354659655274,0.97802734375,0.9753140520011685,0.97119140625,0.9693251533742331,0.6951702721563884,0.6898869848096465
released_hybrid_w3,seed_nn,2048,1141,0.3212890625,0.3044113350861817,0.7060546875,0.6947122407245108,0.45017341279155226,0.43463778112935714,0.962890625,0.9620216184633361,0.5107421875,0.5086181711948582,0.3212890625,0.3044113350861817,0.589633597688568,0.5863868088160424
