analysis,space,transform,train_cores,support_tier,alignment_mean,alignment_count,null_alignment_mean,null_alignment_count,alignment_gain_mean,alignment_gain_count
alignment_all,graph_256,Brc1ccc([*:1])nc1>>c1cc(C[*:1])cs1,2,2-4,0.7688886201868437,1,0.10473474359552376,1,0.66415387659132,1
alignment_all,graph_256,Brc1ccc([*:1])nc1>>c1ccc([*:1])nc1,3,2-4,0.6037431904122683,1,0.06890260535987686,1,0.5348405850523914,1
alignment_all,graph_256,Brc1ccc([*:1])s1>>Clc1ccc([*:1])s1,4,2-4,0.9364818841170064,1,-0.045298318694909606,1,0.981780202811916,1
alignment_all,graph_256,Brc1ccc([*:1])s1>>c1csc([*:1])c1,3,2-4,0.926641413177256,1,0.031044054638781002,1,0.895597358538475,1
alignment_all,graph_256,Brc1cccc(C[*:1])c1>>c1ccc(C[*:1])cc1,3,2-4,0.9430720216561539,1,-0.014988474092227273,1,0.9580604957483811,1
alignment_all,graph_256,Brc1cccc([*:1])c1>>Brc1ccccc1[*:1],4,2-4,0.7112174250153559,3,-0.06041313252995961,3,0.7716305575453156,3
alignment_all,graph_256,Brc1cccc([*:1])c1>>COc1cccc([*:1])c1,2,2-4,0.8082000952856563,2,0.08330683826847804,2,0.7248932570171782,2
alignment_all,graph_256,Brc1cccc([*:1])c1>>CSc1ccc([*:1])cc1,4,2-4,0.9286311597088555,2,-0.25050214662017833,2,1.1791333063290337,2
alignment_all,graph_256,Brc1cccc([*:1])c1>>Cc1ccc([*:1])c(Br)c1,3,2-4,0.916866733651224,1,-0.171970691497998,1,1.0888374251492219,1
alignment_all,graph_256,Brc1cccc([*:1])c1>>Cc1ccc([*:1])c(C)c1,2,2-4,0.9051705907846711,1,-0.1912226813396033,1,1.0963932721242744,1
alignment_all,graph_256,Brc1cccc([*:1])c1>>Cc1ccc([*:1])cc1,4,2-4,0.9420847488111799,1,-0.10772441745009828,1,1.049809166261278,1
alignment_all,graph_256,Brc1cccc([*:1])c1>>Cc1cccc([*:1])c1,10,10-19,0.9034281683831904,1,0.06288043532580527,1,0.8405477330573852,1
alignment_all,graph_256,Brc1cccc([*:1])c1>>Cc1cccc([*:1])c1C,3,2-4,0.9508831707719544,2,0.326144982892686,2,0.6247381878792684,2
alignment_all,graph_256,Brc1cccc([*:1])c1>>Cc1ccccc1[*:1],3,2-4,0.9104215732580206,3,-0.02545877949485027,3,0.9358803527528711,3
alignment_all,graph_256,Brc1cccc([*:1])c1>>Clc1ccc([*:1])c(Cl)c1,4,2-4,0.9289320337137182,1,-0.26154629846466926,1,1.1904783321783876,1
alignment_all,graph_256,Brc1cccc([*:1])c1>>Clc1cccc([*:1])c1,6,5-9,0.9581678415869386,2,-0.05287015900825028,2,1.011038000595189,2
alignment_all,graph_256,Brc1cccc([*:1])c1>>Clc1ccccc1[*:1],5,5-9,0.9067820712693282,1,-0.012877248624204762,1,0.919659319893533,1
alignment_all,graph_256,Brc1cccc([*:1])c1>>Fc1ccc([*:1])cc1,5,5-9,0.9387145451484058,4,0.017988550884777667,4,0.9207259942636281,4
alignment_all,graph_256,Brc1cccc([*:1])c1>>Fc1cccc([*:1])c1,5,5-9,0.9525558196213945,4,-0.0025604573361612277,4,0.9551162769575556,4
alignment_all,graph_256,Brc1cccc([*:1])c1>>Fc1ccccc1[*:1],3,2-4,0.9241908442374287,3,0.04738102954782591,3,0.876809814689603,3
alignment_all,graph_256,Brc1cccc([*:1])c1>>c1ccc([*:1])cc1,12,10-19,0.919449190885581,5,0.056740923465808855,5,0.8627082674197719,5
alignment_all,graph_256,Brc1ccccc1C[*:1]>>Cc1ccccc1C[*:1],3,2-4,0.9663415117434123,1,0.029373707816435536,1,0.9369678039269768,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>CN(C)c1ccc([*:1])cc1,2,2-4,0.9151029296566429,1,0.007132277618242214,1,0.9079706520384007,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>COc1ccc([*:1])cc1,5,5-9,0.875060594992557,4,0.033563629044796,4,0.8414969659477609,4
alignment_all,graph_256,Brc1ccccc1[*:1]>>COc1ccc([*:1])cc1OC,2,2-4,0.9538667503043947,1,0.41179644919621766,1,0.5420703011081771,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>COc1ccccc1[*:1],3,2-4,0.9240870765017759,1,-0.12028294926111363,1,1.0443700257628896,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Cc1cc(Br)ccc1[*:1],2,2-4,0.8517467803430676,1,0.293546611114923,1,0.5582001692281446,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>Cc1ccc([*:1])cc1,4,2-4,0.943776670146228,3,0.005338289921485345,3,0.9384383802247426,3
