analysis,minimum_train_cores,transformations,observations,metric,space,macro_estimate,ci_low,ci_high,positive_transformation_fraction
alignment_all,20,141,2123,alignment,graph_256,0.813505210052932,0.8009600985090932,0.8259146843772437,
alignment_all,20,141,2123,alignment,mean_node_128,0.9334727468108062,0.9237630253197836,0.9426171443516407,
alignment_all,20,141,2123,alignment,hybrid_w1,0.844194082075558,0.8327266724848613,0.8553178836507221,
alignment_all,20,141,2123,alignment,released_hybrid_w3,0.9003869069329309,0.8905078924034626,0.9100212810503767,
alignment_all,20,141,2123,alignment,hybrid_w6,0.9223240786595701,0.912688650924866,0.9317088016061984,
alignment_all,20,141,2123,null_alignment,graph_256,0.0210526422682244,0.0002438453329866952,0.040659650417499776,
alignment_all,20,141,2123,null_alignment,mean_node_128,0.02837876811601496,0.003902382782361065,0.052020887579392966,
alignment_all,20,141,2123,null_alignment,hybrid_w1,0.02336919820067236,0.0024032530606780496,0.04258841209838656,
alignment_all,20,141,2123,null_alignment,released_hybrid_w3,0.026467855336009427,0.0036158663526882407,0.04763442158971734,
alignment_all,20,141,2123,null_alignment,hybrid_w6,0.02767074638326286,0.0038884374571134745,0.05058685699474794,
alignment_all,20,141,2123,alignment_gain,graph_256,0.7924525677847075,0.7700179015923446,0.8171427464747835,1.0
alignment_all,20,141,2123,alignment_gain,mean_node_128,0.9050939786947915,0.8781339442686751,0.9323335388546239,1.0
alignment_all,20,141,2123,alignment_gain,hybrid_w1,0.8208248838748858,0.7983107956154555,0.8449934966099659,1.0
alignment_all,20,141,2123,alignment_gain,released_hybrid_w3,0.8739190515969218,0.849281463866725,0.899259983188314,1.0
alignment_all,20,141,2123,alignment_gain,hybrid_w6,0.8946533322763075,0.8683748641851872,0.9207861534037788,1.0
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,graph_256,0.9428863569967858,0.9306127665790243,0.9542835232252409,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,mean_node_128,0.9601226993865029,0.9500365176745543,0.9704937189599767,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,hybrid_w1,0.9677183756938357,0.958369851007888,0.9766286882851299,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,released_hybrid_w3,0.9693251533742328,0.9596844872918493,0.9783815366637454,
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,hybrid_w6,0.9637744668419513,0.9536955886649139,0.9737072743207711,
