analysis,minimum_train_cores,transformations,observations,metric,space,reference_space,paired_macro_difference,ci_low,ci_high
alignment_all,10,420,3396,alignment_gain,graph_256,released_hybrid_w3,-0.07877049989145468,-0.08968152259887852,-0.06841538629358988
alignment_all,10,420,3396,alignment_gain,mean_node_128,released_hybrid_w3,0.02988573581632037,0.026699082259981324,0.03321107205288923
alignment_all,10,420,3396,alignment_gain,hybrid_w1,released_hybrid_w3,-0.05143943719985322,-0.058041644353828366,-0.045133028297059036
alignment_all,10,420,3396,alignment_gain,hybrid_w6,released_hybrid_w3,0.019936046578759137,0.017783540416388126,0.022193044741584466
alignment_all,20,141,2123,alignment,graph_256,released_hybrid_w3,-0.08688169687999892,-0.0952717244912692,-0.07890224822537227
alignment_all,20,141,2123,alignment,mean_node_128,released_hybrid_w3,0.03308583987787528,0.030281044399049085,0.035993445680228754
alignment_all,20,141,2123,alignment,hybrid_w1,released_hybrid_w3,-0.05619282485737287,-0.06092472849454504,-0.05172661303905213
alignment_all,20,141,2123,alignment,hybrid_w6,released_hybrid_w3,0.021937171726639226,0.020129962707733495,0.023772411305674618
alignment_all,20,141,2123,null_alignment,graph_256,released_hybrid_w3,-0.005415213067785026,-0.01927807206863522,0.007617985606863044
alignment_all,20,141,2123,null_alignment,mean_node_128,released_hybrid_w3,0.001910912780005533,-0.0023216899202761613,0.006151973902538874
alignment_all,20,141,2123,null_alignment,hybrid_w1,released_hybrid_w3,-0.0030986571353370657,-0.011621232867808796,0.005104870590401301
alignment_all,20,141,2123,null_alignment,hybrid_w6,released_hybrid_w3,0.0012028910472534314,-0.0016645012828731035,0.004096425065978025
alignment_all,20,141,2123,alignment_gain,graph_256,released_hybrid_w3,-0.08146648381221433,-0.09566562114258542,-0.06761436022873353
alignment_all,20,141,2123,alignment_gain,mean_node_128,released_hybrid_w3,0.03117492709786962,0.026278502394298277,0.03609522434180419
alignment_all,20,141,2123,alignment_gain,hybrid_w1,released_hybrid_w3,-0.05309416772203601,-0.06175903524199323,-0.04449233361485009
alignment_all,20,141,2123,alignment_gain,hybrid_w6,released_hybrid_w3,0.020734280679385653,0.017525607815816635,0.024013025485882983
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,graph_256,released_hybrid_w3,-0.02643879637744695,-0.039442740286298475,-0.014460999123575787
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,mean_node_128,released_hybrid_w3,-0.009202453987729897,-0.01606777680397298,-0.0018989190768332609
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,hybrid_w1,released_hybrid_w3,-0.0016067776803970757,-0.010663160969909269,0.007449605609114784
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_1,hybrid_w6,released_hybrid_w3,-0.0055506865322814125,-0.011105024832018931,0.0005842827928718153
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,graph_256,released_hybrid_w3,-0.006134969325153339,-0.011247443762781088,-0.001460706982179591
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,mean_node_128,released_hybrid_w3,-0.0004382120946537782,-0.0017528483786152238,0.0
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,hybrid_w1,released_hybrid_w3,-0.002629272567922891,-0.006134969325153339,0.0
retrieval_mmp_direction,2,1141,2048,exact_derivative_recall_at_10,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,graph_256,released_hybrid_w3,-0.02110723230902878,-0.02953672134297684,-0.013179775919012617
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,mean_node_128,released_hybrid_w3,-0.005884223138824418,-0.009463291784172583,-0.0021195496732309585
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,hybrid_w1,released_hybrid_w3,-0.003761904178205877,-0.009586161477046676,0.0017997629500698267
retrieval_mmp_direction,2,1141,2048,reciprocal_rank_within_50,hybrid_w6,released_hybrid_w3,-0.003820630415518833,-0.0067429228724657005,-0.0006932888998167057
retrieval_mmp_direction,2,1141,2048,scaffold_retention,graph_256,released_hybrid_w3,-0.0011685655857434085,-0.003213555360794487,0.0
retrieval_mmp_direction,2,1141,2048,scaffold_retention,mean_node_128,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,2,1141,2048,scaffold_retention,hybrid_w1,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,2,1141,2048,scaffold_retention,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,2,1141,2048,mmp_consistency,graph_256,released_hybrid_w3,-0.022787028921998465,-0.03359626059012555,-0.01212386795208897
retrieval_mmp_direction,2,1141,2048,mmp_consistency,mean_node_128,released_hybrid_w3,-0.006573181419807228,-0.012708150744960789,-0.00014241893076261163
retrieval_mmp_direction,2,1141,2048,mmp_consistency,hybrid_w1,released_hybrid_w3,-0.0036517674554484847,-0.011393514460998904,0.004528191644755935
retrieval_mmp_direction,2,1141,2048,mmp_consistency,hybrid_w6,released_hybrid_w3,-0.0033596260590125215,-0.00847575226409593,0.002044989775051076
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,graph_256,released_hybrid_w3,-0.02643879637744695,-0.039442740286298475,-0.014460999123575787
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,mean_node_128,released_hybrid_w3,-0.009202453987729897,-0.01606777680397298,-0.0018989190768332609
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,hybrid_w1,released_hybrid_w3,-0.0016067776803970757,-0.010663160969909269,0.007449605609114784
retrieval_mmp_direction,2,1141,2048,exact_requested_transform,hybrid_w6,released_hybrid_w3,-0.0055506865322814125,-0.011105024832018931,0.0005842827928718153
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,graph_256,released_hybrid_w3,-0.005871121577665117,-0.009066346438479343,-0.0029214115377932163
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,mean_node_128,released_hybrid_w3,-0.0014073925818058886,-0.002988612234072785,0.00016663778670057366
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,hybrid_w1,released_hybrid_w3,0.0002890462156719398,-0.0016819892705395635,0.0024004405881668965
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,hybrid_w6,released_hybrid_w3,-0.0005947221019156901,-0.0017997485415546632,0.0006526236495707021
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,graph_256,released_hybrid_w3,-0.02643879637744695,-0.03813175576979249,-0.014457347356120259
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,mean_node_128,released_hybrid_w3,-0.009202453987729897,-0.016067776803973092,-0.0024832018697048485
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,hybrid_w1,released_hybrid_w3,-0.0016067776803970757,-0.010371019573473531,0.006719252118025157
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,hybrid_w6,released_hybrid_w3,-0.0055506865322814125,-0.011247443762781088,0.00014607069821781504
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,graph_256,released_hybrid_w3,-0.006134969325153339,-0.011247443762781306,-0.0016031259129415476
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,mean_node_128,released_hybrid_w3,-0.0004382120946537782,-0.0017528483786152238,0.0
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,hybrid_w1,released_hybrid_w3,-0.002629272567922891,-0.005696757230499561,0.0
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,graph_256,released_hybrid_w3,-0.02110723230902878,-0.029000045686614354,-0.013375583966622437
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,mean_node_128,released_hybrid_w3,-0.005884223138824418,-0.009421440285539687,-0.0023069870958235985
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,hybrid_w1,released_hybrid_w3,-0.003761904178205877,-0.00931628716740433,0.001715654525142018
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,hybrid_w6,released_hybrid_w3,-0.003820630415518833,-0.0067683284108723514,-0.0009178846371205563
retrieval_mmp_direction,5,1141,2048,scaffold_retention,graph_256,released_hybrid_w3,-0.0011685655857434085,-0.0033596260590125215,0.0
retrieval_mmp_direction,5,1141,2048,scaffold_retention,mean_node_128,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,5,1141,2048,scaffold_retention,hybrid_w1,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,5,1141,2048,scaffold_retention,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,5,1141,2048,mmp_consistency,graph_256,released_hybrid_w3,-0.022787028921998465,-0.034034472684779216,-0.012123867952088859
retrieval_mmp_direction,5,1141,2048,mmp_consistency,mean_node_128,released_hybrid_w3,-0.006573181419807228,-0.012854221443178496,-0.00029214139643584937
retrieval_mmp_direction,5,1141,2048,mmp_consistency,hybrid_w1,released_hybrid_w3,-0.0036517674554484847,-0.011685655857434751,0.004236050248320189
retrieval_mmp_direction,5,1141,2048,mmp_consistency,hybrid_w6,released_hybrid_w3,-0.0033596260590125215,-0.008472100496640489,0.0020449897750508565
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,graph_256,released_hybrid_w3,-0.02643879637744695,-0.03813175576979249,-0.014457347356120259
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,mean_node_128,released_hybrid_w3,-0.009202453987729897,-0.016067776803973092,-0.0024832018697048485
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,hybrid_w1,released_hybrid_w3,-0.0016067776803970757,-0.010371019573473531,0.006719252118025157
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,hybrid_w6,released_hybrid_w3,-0.0055506865322814125,-0.011247443762781088,0.00014607069821781504
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,graph_256,released_hybrid_w3,-0.005871121577665117,-0.00911105012372274,-0.002723743339466506
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,mean_node_128,released_hybrid_w3,-0.0014073925818058886,-0.0030427552092299774,0.0001400629434049775
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,hybrid_w1,released_hybrid_w3,0.0002890462156719398,-0.0016771088625526342,0.002381811163668345
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,hybrid_w6,released_hybrid_w3,-0.0005947221019156901,-0.001840001344487438,0.0005950846247838606
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,graph_256,released_hybrid_w3,-0.02989352989352978,-0.04954954954954917,-0.011875511875511719
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,mean_node_128,released_hybrid_w3,-0.009828009828009687,-0.020065520065520093,-0.0008190008190008785
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,hybrid_w1,released_hybrid_w3,-0.003276003276003192,-0.0159705159705158,0.008599508599508643
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,hybrid_w6,released_hybrid_w3,-0.009418509418509191,-0.01883701883701872,-0.0016380016380016515
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,graph_256,released_hybrid_w3,-0.009009009009008917,-0.01842751842751844,-0.0012285012285012664
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,mean_node_128,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,hybrid_w1,released_hybrid_w3,-0.0036855036855036882,-0.00982800982800991,0.0
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,graph_256,released_hybrid_w3,-0.02312671289944035,-0.03681864161977777,-0.010818883375701601
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,mean_node_128,released_hybrid_w3,-0.005752461434279654,-0.010990279683461505,-0.0010197989459353244
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,hybrid_w1,released_hybrid_w3,-0.004994398176216386,-0.013935126094216866,0.0034952632679905848
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,hybrid_w6,released_hybrid_w3,-0.005131351801542228,-0.009731577026767376,-0.0010916071751167372
retrieval_mmp_direction,10,407,915,scaffold_retention,graph_256,released_hybrid_w3,-0.0020475020475020367,-0.006552006552006606,0.0
retrieval_mmp_direction,10,407,915,scaffold_retention,mean_node_128,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,10,407,915,scaffold_retention,hybrid_w1,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,10,407,915,scaffold_retention,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,10,407,915,mmp_consistency,graph_256,released_hybrid_w3,-0.027846027846027965,-0.045454545454545525,-0.010647010647010676
retrieval_mmp_direction,10,407,915,mmp_consistency,mean_node_128,released_hybrid_w3,-0.008599508599508643,-0.018437755937756053,0.0
retrieval_mmp_direction,10,407,915,mmp_consistency,hybrid_w1,released_hybrid_w3,-0.0045045045045044585,-0.016380016380016293,0.0061527436527436695
retrieval_mmp_direction,10,407,915,mmp_consistency,hybrid_w6,released_hybrid_w3,-0.008190008190008147,-0.0167895167895169,-0.0008190008190008813
retrieval_mmp_direction,10,407,915,exact_requested_transform,graph_256,released_hybrid_w3,-0.02989352989352978,-0.04954954954954917,-0.011875511875511719
retrieval_mmp_direction,10,407,915,exact_requested_transform,mean_node_128,released_hybrid_w3,-0.009828009828009687,-0.020065520065520093,-0.0008190008190008785
retrieval_mmp_direction,10,407,915,exact_requested_transform,hybrid_w1,released_hybrid_w3,-0.003276003276003192,-0.0159705159705158,0.008599508599508643
retrieval_mmp_direction,10,407,915,exact_requested_transform,hybrid_w6,released_hybrid_w3,-0.009418509418509191,-0.01883701883701872,-0.0016380016380016515
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,graph_256,released_hybrid_w3,-0.008831628055507634,-0.014404889059796413,-0.0034951479249271844
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,mean_node_128,released_hybrid_w3,-0.0011813088453107579,-0.0038203900408659702,0.0011600272222848066
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,hybrid_w1,released_hybrid_w3,-0.001211094136860713,-0.00440314084111264,0.002022053550009477
retrieval_mmp_direction,10,407,915,seed_retrieved_tanimoto,hybrid_w6,released_hybrid_w3,-0.0012228293791167744,-0.00351592543625473,0.0005449138600523706
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,graph_256,released_hybrid_w3,-0.03140096618357491,-0.06280193236714982,-0.0024154589371978537
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,mean_node_128,released_hybrid_w3,-0.00483091787439649,-0.019323671497584627,0.007246376811594127
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,hybrid_w1,released_hybrid_w3,-0.007246376811594457,-0.03260869565217395,0.01570048309178751
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_1,hybrid_w6,released_hybrid_w3,-0.0024154589371983004,-0.01449275362318847,0.007246376811594235
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,graph_256,released_hybrid_w3,-0.013285024154589209,-0.03263888888888892,0.0
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,mean_node_128,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,hybrid_w1,released_hybrid_w3,-0.010869565217391353,-0.02898550724637683,0.0
retrieval_mmp_direction,20,138,326,exact_derivative_recall_at_10,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,graph_256,released_hybrid_w3,-0.023792270531400983,-0.04718800322061205,-0.003220611916264421
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,mean_node_128,released_hybrid_w3,-0.003019323671497376,-0.010668276972624739,0.004025764895330131
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,hybrid_w1,released_hybrid_w3,-0.009017713365539248,-0.029268317230273594,0.007447665056360633
retrieval_mmp_direction,20,138,326,reciprocal_rank_within_50,hybrid_w6,released_hybrid_w3,-0.0015096618357486324,-0.008255334138486347,0.004833433977455829
retrieval_mmp_direction,20,138,326,scaffold_retention,graph_256,released_hybrid_w3,-0.0024154589371980784,-0.009661835748792313,0.0
retrieval_mmp_direction,20,138,326,scaffold_retention,mean_node_128,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,20,138,326,scaffold_retention,hybrid_w1,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,20,138,326,scaffold_retention,hybrid_w6,released_hybrid_w3,0.0,0.0,0.0
retrieval_mmp_direction,20,138,326,mmp_consistency,graph_256,released_hybrid_w3,-0.027777777777777346,-0.0567632850241544,-0.0012077294685991502
retrieval_mmp_direction,20,138,326,mmp_consistency,mean_node_128,released_hybrid_w3,-0.004830917874396046,-0.019323671497584627,0.007246376811594235
retrieval_mmp_direction,20,138,326,mmp_consistency,hybrid_w1,released_hybrid_w3,-0.008454106280193163,-0.03019323671497598,0.010899758454106264
retrieval_mmp_direction,20,138,326,mmp_consistency,hybrid_w6,released_hybrid_w3,-0.0024154589371980784,-0.01449275362318847,0.007246376811594235
retrieval_mmp_direction,20,138,326,exact_requested_transform,graph_256,released_hybrid_w3,-0.03140096618357491,-0.06280193236714982,-0.0024154589371978537
retrieval_mmp_direction,20,138,326,exact_requested_transform,mean_node_128,released_hybrid_w3,-0.00483091787439649,-0.019323671497584627,0.007246376811594127
retrieval_mmp_direction,20,138,326,exact_requested_transform,hybrid_w1,released_hybrid_w3,-0.007246376811594457,-0.03260869565217395,0.01570048309178751
retrieval_mmp_direction,20,138,326,exact_requested_transform,hybrid_w6,released_hybrid_w3,-0.0024154589371983004,-0.01449275362318847,0.007246376811594235
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,graph_256,released_hybrid_w3,-0.011467357708834558,-0.020889915791721052,-0.0036428489649409433
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,mean_node_128,released_hybrid_w3,-0.00036941847125071536,-0.0031992527406038973,0.0025683403091634267
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,hybrid_w1,released_hybrid_w3,-0.0031220398722257015,-0.008767574450563318,0.0017283675235870207
retrieval_mmp_direction,20,138,326,seed_retrieved_tanimoto,hybrid_w6,released_hybrid_w3,5.584286122406468e-06,-0.002471901804200094,0.003273905997767062
