space,method,queries,rows_including_replicates,median_nonzero_target_rank_within_50,target_recall_at_1_mean,target_recall_at_1_ci_low,target_recall_at_1_ci_high,target_recall_at_10_mean,target_recall_at_10_ci_low,target_recall_at_10_ci_high,target_recall_at_50_mean,target_recall_at_50_ci_low,target_recall_at_50_ci_high,top1_morgan_tanimoto_to_seed_mean,top1_morgan_tanimoto_to_seed_ci_low,top1_morgan_tanimoto_to_seed_ci_high,top1_morgan_tanimoto_to_true_target_mean,top1_morgan_tanimoto_to_true_target_ci_low,top1_morgan_tanimoto_to_true_target_ci_high,top1_same_scaffold_as_seed_mean,top1_same_scaffold_as_seed_ci_low,top1_same_scaffold_as_seed_ci_high,top1_single_cut_mmp_to_seed_mean,top1_single_cut_mmp_to_seed_ci_low,top1_single_cut_mmp_to_seed_ci_high,top1_absolute_heavy_atom_delta_mean,top1_absolute_heavy_atom_delta_ci_low,top1_absolute_heavy_atom_delta_ci_high,top1_descriptor_rms_from_seed_mean,top1_descriptor_rms_from_seed_ci_low,top1_descriptor_rms_from_seed_ci_high,top1_descriptor_progress_to_true_target_mean,top1_descriptor_progress_to_true_target_ci_low,top1_descriptor_progress_to_true_target_ci_high,top1_latent_progress_to_true_target_mean,top1_latent_progress_to_true_target_ci_low,top1_latent_progress_to_true_target_ci_high,top10_mean_morgan_tanimoto_to_seed_mean,top10_mean_morgan_tanimoto_to_seed_ci_low,top10_mean_morgan_tanimoto_to_seed_ci_high,top10_same_scaffold_fraction_mean,top10_same_scaffold_fraction_ci_low,top10_same_scaffold_fraction_ci_high,top10_single_cut_mmp_fraction_mean,top10_single_cut_mmp_fraction_ci_low,top10_single_cut_mmp_fraction_ci_high
mean_node_128,interpolation_0.25,227,227,1.0,0.6035242290748899,0.5374449339207048,0.6651982378854625,0.9295154185022027,0.8942731277533039,0.960352422907489,0.986784140969163,0.9691629955947136,1.0,0.6911907435612799,0.6709641238989835,0.7098479392327958,0.8099784169901582,0.777528201402642,0.840232435042807,0.9955947136563876,0.986784140969163,1.0,0.7577092511013216,0.7048458149779736,0.8106828193832598,0.8898678414096917,0.7797356828193832,1.0044052863436124,0.2729260667399472,0.24552237470752833,0.3000330653229705,0.6744314336696585,0.6128395893176225,0.7354205721703241,0.6677370909046573,0.6065337115266648,0.7204650597292129,0.42187969841181633,0.4104306754776844,0.43313927553526205,0.7370044052863437,0.6942511013215859,0.7744603524229076,0.18810572687224672,0.17312775330396482,0.20440528634361235
mean_node_128,interpolation_0.50,227,227,1.0,0.920704845814978,0.8854625550660793,0.9515418502202643,0.9955947136563876,0.9866740088105727,1.0,1.0,1.0,1.0,0.7344362307508033,0.7195189964700089,0.7477890051858136,0.9624956085603324,0.94342358316223,0.9800398829565574,1.0,1.0,1.0,0.9559471365638766,0.9295154185022027,0.9779735682819384,1.118942731277533,0.9955947136563876,1.2379955947136563,0.3716245348059391,0.33614796574677336,0.4068768470555679,0.9580281782486569,0.9358970744050308,0.9788814335913595,0.9610013102703182,0.9414304432896246,0.9791973294578675,0.4194508221910712,0.40814486975684794,0.43095360743208494,0.7365638766519823,0.6947136563876652,0.7766519823788547,0.18810572687224675,0.173557268722467,0.20440528634361232
mean_node_128,interpolation_0.75,227,227,1.0,0.9955947136563876,0.986784140969163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7510726794929631,0.7413614616948343,0.7612336954450557,0.9992894699445787,0.9971578797783147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1894273127753303,1.0704845814977975,1.3171806167400881,0.3882053028338599,0.35005398996663767,0.4239276871228987,0.9999998101096484,0.9999994303289454,1.0,0.9996354976690353,0.9989064930071058,1.0,0.4092650551051442,0.3975611552157686,0.42148639451594677,0.7299559471365639,0.6832599118942732,0.7748898678414097,0.18325991189427315,0.16871145374449345,0.19957048458149781
mean_node_128,interpolation_1.00,227,227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7508236244079556,0.7410133693898845,0.7595464033019839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1894273127753303,1.0616740088105727,1.3215859030837005,0.3882052769783454,0.35131383336742117,0.4264670299107503,1.0,1.0,1.0,1.0,1.0,1.0,0.3996997672819105,0.387213370367072,0.4126237736857539,0.7167400881057269,0.6766299559471365,0.760374449339207,0.1748898678414097,0.16122246696035247,0.1907599118942732
mean_node_128,isotropic,227,681,2.0,0.41556534508076365,0.35535976505139494,0.47140234948604987,0.8179148311306902,0.7679882525697505,0.8605359765051395,0.933920704845815,0.9016152716593246,0.9618208516886931,0.6391816595592842,0.6168987246874302,0.6612445576291052,0.7028323549034313,0.667752519689407,0.7392239627393778,0.97503671071953,0.9559471365638766,0.9911894273127754,0.6035242290748899,0.538913362701909,0.6651982378854625,0.8751835535976504,0.7782305433186489,0.9765051395007343,0.2583686341640338,0.2354376194136984,0.28173267804344343,0.4716676990900135,0.4027039509952918,0.5368527149142985,0.450971901344537,0.3902590951352524,0.5119206223502136,0.4120659918325644,0.4007340943602755,0.4237123022913273,0.7229074889867843,0.6816299559471366,0.7612371512481645,0.1679882525697504,0.15403450807635832,0.1834140969162996
mean_node_128,local_covariance,227,681,2.0,0.38472834067547723,0.3274596182085169,0.43906020558002934,0.7048458149779736,0.6534508076358296,0.7591776798825256,0.8590308370044053,0.816446402349486,0.8957782672540382,0.5959484739044402,0.5728848276470878,0.6191286017854969,0.653854908915296,0.6187298961863794,0.6880254198781671,0.9162995594713657,0.8883994126284877,0.9427312775330396,0.5301027900146843,0.472834067547724,0.5844346549192364,1.1395007342143904,1.0029368575624082,1.2790381791483112,0.3290143036042995,0.29995690358701854,0.35753796700492074,0.44066552116671887,0.3689745129036775,0.5064614620512707,0.42573240933136375,0.37040693715616246,0.4790349244017398,0.38321155144153807,0.3722039595030721,0.39451172081223657,0.6609397944199707,0.6186343612334801,0.7051505139500734,0.1417033773861968,0.12892804698972102,0.15565712187958888
mean_node_128,mmp_direction,227,227,1.0,0.973568281938326,0.9515418502202643,0.9911894273127754,1.0,1.0,1.0,1.0,1.0,1.0,0.7421397703011384,0.7303662550419981,0.754400870253866,0.9843653078483261,0.9703710457511793,0.9953492578190603,1.0,1.0,1.0,0.9779735682819384,0.9559471365638766,0.9955947136563876,1.1762114537444934,1.052863436123348,1.303964757709251,0.3857646029547254,0.3530211749405715,0.4238369134320428,0.9954083137183921,0.9880856850931482,1.003178681752148,0.9912494034077143,0.9825531330749034,0.9977307293054379,0.396242654946968,0.38456185391585324,0.408065939068975,0.701762114537445,0.6554955947136563,0.7449339207048458,0.1770925110132159,0.16386563876651983,0.19251101321585906
mean_node_128,seed_nn,227,227,2.0,0.40969162995594716,0.34801762114537443,0.4713656387665198,0.8149779735682819,0.7665198237885462,0.8634361233480177,0.9427312775330396,0.9118942731277533,0.9691629955947136,0.6394365904069673,0.6157575867630495,0.6621374635074254,0.700983392185507,0.6682735327450697,0.7361781312264426,0.973568281938326,0.9515418502202643,0.9911894273127754,0.5947136563876652,0.5286343612334802,0.6563876651982379,0.8237885462555066,0.7224669603524229,0.920704845814978,0.25105899176841534,0.2275735833177977,0.27435864081454275,0.430286424456608,0.3409529550548681,0.5109275858975334,0.4469850303859174,0.38305051448406896,0.5102628878500516,0.4153616245407135,0.40460623606177054,0.42706235435701045,0.7325991189427313,0.6902863436123349,0.7744713656387665,0.17048458149779738,0.15462555066079298,0.18722466960352427
hybrid_384,global_covariance,227,681,2.0,0.3964757709251101,0.3406754772393539,0.45080763582966227,0.7474302496328928,0.6989720998531572,0.7973568281938326,0.8737151248164463,0.8340675477239354,0.908957415565345,0.6190532489209661,0.5961197297907854,0.6419799282541866,0.6751661480423697,0.6402327827261148,0.7113580798851714,0.947136563876652,0.922173274596182,0.9706314243759177,0.5580029368575624,0.5036710719530103,0.6123348017621145,0.8311306901615271,0.7459618208516886,0.9236417033773863,0.2362778858794208,0.21644722029781827,0.25616939270916617,0.41446727568646263,0.35744310855627937,0.4742373127526482,0.4472321336490211,0.392114279083968,0.5028852771919917,0.40040094311306906,0.3891958469973221,0.41243491844328345,0.6866372980910426,0.6436086637298092,0.7298164464023496,0.15389133627019091,0.1393538913362702,0.16842878120411164
hybrid_384,interpolation_0.25,227,227,1.0,0.5770925110132159,0.5110132158590308,0.6431718061674009,0.9251101321585903,0.8898678414096917,0.9559471365638766,0.9779735682819384,0.9559471365638766,0.9955947136563876,0.6871263062709538,0.667921593491963,0.706712758614971,0.7901261016301391,0.7536277907694693,0.8245578594484922,0.9823788546255506,0.9647577092511013,0.9955947136563876,0.7444933920704846,0.6828193832599119,0.7973568281938326,0.8502202643171806,0.748898678414097,0.9560572687224669,0.23416782035623904,0.21404320190005457,0.25663714718284064,0.6117515970836784,0.5473247951120004,0.6674553786288507,0.6281280374720194,0.5725064767043069,0.6859181068886651,0.42019903941701686,0.40952579969268166,0.43161855214090095,0.7361233480176212,0.6929405286343613,0.7775440528634362,0.18325991189427315,0.16696035242290752,0.19912995594713664
hybrid_384,interpolation_0.50,227,227,1.0,0.9691629955947136,0.9427312775330396,0.9911894273127754,1.0,1.0,1.0,1.0,1.0,1.0,0.7455615218997291,0.733655890664549,0.7568800811614479,0.986050770049259,0.9740506408750387,0.9957667313311739,1.0,1.0,1.0,0.9823788546255506,0.9647577092511013,0.9955947136563876,1.145374449339207,1.0220264317180616,1.2644273127753303,0.37828952456944065,0.34028080317455983,0.4156195591530728,0.9818324156757124,0.9654082858624303,0.9952146604228284,0.9812791996754218,0.9635029953461852,0.9946789549897481,0.4203333805724017,0.4092502398268806,0.4317122898886386,0.7334801762114538,0.6907488986784142,0.775330396475771,0.18986784140969168,0.17312775330396482,0.20792951541850221
hybrid_384,interpolation_0.75,227,227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7508236244079556,0.7407709237589726,0.7613028225078868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1894273127753303,1.066079295154185,1.3127753303964758,0.3882052769783454,0.3535844701986802,0.42494416910129007,1.0,1.0,1.0,1.0,1.0,1.0,0.40834751948941583,0.39752752517346973,0.42013066055668785,0.7237885462555067,0.683237885462555,0.7630066079295154,0.18370044052863438,0.16828193832599123,0.20000000000000004
hybrid_384,interpolation_1.00,227,227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7508236244079556,0.7407314068013011,0.7608413160118245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1894273127753303,1.0616740088105727,1.3172907488986783,0.3882052769783454,0.3511681062639723,0.4266807287260264,1.0,1.0,1.0,1.0,1.0,1.0,0.397432277862554,0.38519917203310533,0.4101334076810428,0.707488986784141,0.6576872246696035,0.7511123348017621,0.17224669603524234,0.15638766519823794,0.18722466960352427
hybrid_384,isotropic,227,681,2.0,0.4185022026431718,0.3494860499265786,0.47577092511013214,0.7767988252569751,0.7268722466960352,0.8281938325991189,0.908957415565345,0.8707782672540382,0.9427679882525697,0.6455165594824198,0.6232775946173267,0.6666491114124946,0.703046008228124,0.6655406796345623,0.7384946263030212,0.9632892804698971,0.936820851688693,0.9853157121879589,0.606461086637298,0.5477239353891337,0.6681350954478708,0.8032305433186491,0.7063142437591776,0.8942731277533039,0.21411547909531467,0.19410375229666355,0.2344428719595241,0.44286407681303913,0.36822505438890385,0.5109273619956567,0.4656642116090558,0.4089173487331714,0.5260174732388752,0.41181275127351535,0.40084729979070977,0.42369664661061085,0.7255506607929515,0.6834030837004406,0.7656424375917769,0.16784140969162997,0.15153817914831133,0.18502202643171808
hybrid_384,local_covariance,227,681,2.0,0.38179148311306904,0.3230543318649045,0.433223201174743,0.6916299559471366,0.6343245227606461,0.7459618208516886,0.8531571218795888,0.8120411160058738,0.8913362701908957,0.6000767042480177,0.5762073619082512,0.6235117134481524,0.6533135738851232,0.6203351881429741,0.6861217394755158,0.9148311306901615,0.8839941262848753,0.9427312775330396,0.5212922173274597,0.4669603524229075,0.5770925110132159,0.9089574155653452,0.8193098384728341,1.0029735682819383,0.2560964407726522,0.2344332981820967,0.277140522795882,0.40691099187602053,0.3423241312050999,0.47117646869442675,0.42435346173869043,0.3707269008122894,0.4792841123057311,0.3880676821488951,0.3768338828553191,0.40040447623214753,0.6693098384728341,0.626428046989721,0.7108883994126285,0.14243759177679882,0.12907488986784144,0.15814977973568284
hybrid_384,mmp_direction,227,227,1.0,0.9383259911894273,0.9030837004405287,0.9647577092511013,0.9955947136563876,0.986784140969163,1.0,1.0,1.0,1.0,0.740153215188983,0.7282600033894056,0.7511875136496668,0.9701251979964634,0.9537323561460768,0.9844537909155948,1.0,1.0,1.0,0.9515418502202643,0.920704845814978,0.9779735682819384,1.171806167400881,1.0440528634361232,1.2952643171806166,0.3672455759338972,0.33504926487007436,0.39906880266838746,0.9679758115947572,0.9392428239287651,0.9928812721475779,0.9653165857687016,0.9443636817055227,0.9851895942070714,0.4028303252053848,0.39122478671766264,0.4140724561230179,0.7088105726872247,0.6651872246696033,0.7533039647577092,0.1770925110132159,0.16255506607929518,0.19296255506607934
hybrid_384,seed_nn,227,227,2.0,0.41409691629955947,0.3567180616740088,0.47577092511013214,0.7797356828193832,0.7268722466960352,0.8325991189427313,0.9118942731277533,0.8722466960352423,0.947136563876652,0.6476625884136004,0.6238651992138072,0.6701410692821307,0.7028528212370078,0.6677214060130064,0.7395987264991377,0.9691629955947136,0.947136563876652,0.9911894273127754,0.6035242290748899,0.5418502202643172,0.6651982378854625,0.788546255506608,0.6960352422907489,0.8899779735682819,0.21092395593221006,0.19118029939894657,0.23237818204603036,0.4404724967133803,0.3656892636572122,0.5112638896435961,0.4599126253971808,0.39982578255702067,0.5236622837711455,0.41380749713688375,0.4022001486988032,0.42617185751843717,0.7286343612334804,0.6859030837004405,0.7722466960352423,0.17048458149779738,0.15418502202643175,0.18899779735682823
