space,transform,train_examples,train_cores,train_resultant_length,train_loo_alignment_mean,train_loo_alignment_median,median_train_step_norm,validation_examples_unseen_core,validation_alignment_mean,validation_alignment_median,null_alignment_mean,null_alignment_median
mean_node_128,CCCN[*:1]>>N[*:1],2,2,0.9828778888667724,0.9320978888464069,0.9320978888464069,4.651068753257198,2,0.8343980721286552,0.8343980721286552,-0.005168902472570923,-0.005168902472570923
mean_node_128,CCC[*:1]>>CC[*:1],2,2,0.9500684058549339,0.8052599516074704,0.8052599516074704,1.6639177785828685,44,0.7151810716797448,0.7464381881958346,0.05729794960394086,0.028215747432043078
mean_node_128,CCC[*:1]>>C[*:1],2,2,0.878000612005782,0.5417701493650556,0.5417701493650556,3.191870951381738,46,0.7448075641869016,0.7508919447599008,0.08521126095625016,0.05053953876159989
mean_node_128,CC[*:1]>>C[*:1],6,6,0.7641139646243168,0.6473498986663425,0.6710875294482649,1.2811634610450273,216,0.7173798436738957,0.7226474977688313,0.09613880009859066,0.056687039371324605
mean_node_128,CC[*:1]>>OCCC[*:1],2,2,0.9744261096074235,0.8990124861693171,0.8990124861693171,4.130806630473461,2,0.9632640340090297,0.9632640340090297,-0.21496202002102754,-0.21496202002102754
mean_node_128,CO[*:1]>>C[*:1],2,2,0.989082784449051,0.9565695089869757,0.9565695089869757,3.426129732545467,59,0.8547150847870458,0.9502683691184308,-0.0434483059518733,-0.03503126306218282
mean_node_128,CO[*:1]>>F[*:1],2,2,0.9240680162590807,0.7078033973459856,0.7078033973459856,3.373924445096421,54,0.8823252790700672,0.8869792281103679,0.012674493331240991,-0.03729233640010436
mean_node_128,CO[*:1]>>O=C(O)[*:1],2,2,0.9985455352688892,0.9941863720108655,0.9941863720108655,5.691997452537198,8,0.8384193830865231,0.7545894386172318,0.08442306995872045,0.11516774522509401
mean_node_128,COc1cccc([*:1])c1>>Fc1ccc([*:1])cc1,2,2,0.9941554448959266,0.9766900972324358,0.9766900972324358,3.861373603714061,6,0.9928526058869842,0.9928716511307287,0.0845038651239934,0.09720560063713965
mean_node_128,C[*:1]>>Cl[*:1],2,2,0.9804146701366988,0.9224258508385035,0.9224258508385035,3.0011409334815604,46,0.9597214717418808,0.9745296728155355,0.10465516914179072,0.05561845365347426
mean_node_128,C[*:1]>>FC(F)(F)[*:1],2,2,0.9763643227495015,0.9065745814761856,0.9065745814761856,8.854362669809737,28,0.9204749782724683,0.9253327281583034,0.041056143309185576,0.027705709727701217
mean_node_128,C[*:1]>>F[*:1],2,2,0.9931425195417654,0.9726641282435315,0.9726641282435315,3.7673990479294375,68,0.9314646181594004,0.9855241370030007,0.07762577325009809,0.08113899241989442
mean_node_128,C[*:1]>>O=C(O)[*:1],2,2,0.9090606106565216,0.6527823876944159,0.6527823876944159,5.0000790393877015,9,0.8817346765153485,0.8829100780478306,0.04849202261923477,0.1224053547754811
mean_node_128,C[*:1]>>OCC[*:1],2,2,0.9744261096074235,0.8990124861693171,0.8990124861693171,4.130806630473461,12,0.9053667343797157,0.9192001374642461,-0.16731133280604496,-0.21961241736528983
mean_node_128,N#C[*:1]>>O=[N+]([O-])[*:1],2,2,0.9973787922294867,0.9895289103782986,0.9895289103782986,7.4227973785084504,5,0.9946920621260832,0.9946330753239458,0.006929604140589921,-0.004518020490210425
hybrid_384,C=C[*:1]>>COC[*:1],2,2,0.9762620303875467,0.9061751039528301,0.9061751039528301,7.730735091343957,6,0.78873463093658,0.7786713398850107,-0.14918351777545746,-0.08977111817671529
hybrid_384,CC(C)[*:1]>>CCC[*:1],2,2,0.8877362122380835,0.5761511650376394,0.5761511650376394,3.8549400243626453,33,0.7531266243014613,0.758160239428119,0.016490165876449074,-0.0073753535230206765
hybrid_384,CC(C)[*:1]>>COC[*:1],2,2,0.914390506792981,0.6722199978262489,0.6722199978262489,8.952921361750569,12,0.82759322704305,0.8348795819029248,0.06236476362179841,0.03594963940553851
hybrid_384,CCCCC[*:1]>>CCCC[*:1],2,2,0.9486967184688312,0.8000509272670582,0.8000509272670582,2.7588032143803094,1,0.8755376415450234,0.8755376415450234,-0.36367427244592526,-0.36367427244592526
hybrid_384,CCCC[*:1]>>CCC[*:1],2,2,0.9486967184688312,0.8000509272670582,0.8000509272670582,2.7588032143803094,13,0.7691090618127288,0.7789205607889516,0.08938396708899052,-0.0923349507683978
hybrid_384,CCCC[*:1]>>C[*:1],2,2,0.920327273947529,0.6940045823433804,0.6940045823433804,8.666346065223188,15,0.7879800077384561,0.8031999826703731,0.09120918648298897,-0.01078446537574096
hybrid_384,CCCN[*:1]>>N[*:1],2,2,0.9749340755095598,0.9009929031793602,0.9009929031793602,9.636971438056118,2,0.8260137360224381,0.8260137360224381,0.29368989939152756,0.29368989939152756
hybrid_384,CCC[*:1]>>CC[*:1],2,2,0.9486967184688312,0.8000509272670582,0.8000509272670582,2.7588032143803094,44,0.6412934221786973,0.65957891281023,0.1738174037982421,0.06540646679820024
hybrid_384,CCC[*:1]>>C[*:1],2,2,0.8577489993319396,0.47146669170988764,0.47146669170988764,6.548732616435652,46,0.6485625948001252,0.6494269391474264,0.127379021651713,0.0574079217782616
hybrid_384,CC[*:1]>>C[*:1],6,6,0.7304152051192017,0.5938062923121259,0.5799429090840443,2.881315892596115,216,0.6453037511961754,0.6497511548793646,0.09077544466664997,0.038166973523544256
hybrid_384,CC[*:1]>>OCCC[*:1],2,2,0.9342423365794278,0.7456174869147775,0.7456174869147775,8.956646384796834,2,0.8670515615630171,0.8670515615630171,-0.22801544236257193,-0.22801544236257193
hybrid_384,CO[*:1]>>C[*:1],2,2,0.9662718147595231,0.8673624399973241,0.8673624399973241,10.251765706030014,59,0.675887235980763,0.7510210810134322,0.00250806393506769,-0.0013178742747886555
hybrid_384,CO[*:1]>>F[*:1],2,2,0.8950246284409643,0.6021381710317724,0.6021381710317724,7.325665361740985,54,0.5872601954040155,0.6013729377494688,-0.00992763543096152,-0.013346593915783602
hybrid_384,CO[*:1]>>O=C(O)[*:1],2,2,0.9771605754340821,0.9096855803653332,0.9096855803653332,11.42945222432521,8,0.6755368722600888,0.6122526750554662,0.14012623496134527,0.11145519490512829
hybrid_384,COc1cccc([*:1])c1>>Fc1ccc([*:1])cc1,2,2,0.8274535772803602,0.36935884510813,0.36935884510813,9.754726264371895,6,0.8502698612169723,0.8479757421166918,-0.026289085389034673,0.014176015102263777
hybrid_384,C[*:1]>>Cl[*:1],2,2,0.9063878800555423,0.6430779782231604,0.6430779782231604,5.603680833129873,46,0.8027364179294021,0.8174600820402271,0.02377421218410077,-0.025894581967152306
hybrid_384,C[*:1]>>FC(F)(F)[*:1],2,2,0.932000198668222,0.7372487406352104,0.7372487406352104,14.974199483935983,28,0.8292860540051585,0.8594434936837445,0.004836529541266295,-0.013071336083994783
hybrid_384,C[*:1]>>F[*:1],2,2,0.9138604575687723,0.670281871815612,0.670281871815612,6.785154788791605,68,0.7580116390745552,0.8013775002896784,0.010652052225429132,0.05412152470924721
hybrid_384,C[*:1]>>O=C(O)[*:1],2,2,0.784760856595167,0.23169920408796046,0.23169920408796046,11.278821350132533,9,0.6670539030872725,0.6915273643313866,0.14705572674677986,0.08094227074178632
hybrid_384,C[*:1]>>OCC[*:1],2,2,0.9342423365794278,0.7456174869147775,0.7456174869147775,8.956646384796834,12,0.7819824034878189,0.817119598941644,0.09246543984454471,0.07073717139089368
hybrid_384,N#C[*:1]>>O=[N+]([O-])[*:1],2,2,0.9515190455253817,0.8107769879950668,0.8107769879950668,13.996214979414148,5,0.89826626744634,0.8926960714257937,-0.04168451738445931,-0.024675133186036487
