strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
beam1000_lp06,250,one_cut_mmp_derivative,6286,0.6965942645277751,0.09411893266881328,0.38181817531585693,0.5714285969734192,0.6363636255264282,0.6976743936538696,0.7599999904632568,0.8148148059844971,1.0
beam1000_lp06,250,same_scaffold_non_mmp,4866,0.585851623514798,0.11271606189461955,0.22448979318141937,0.4383561611175537,0.5102040767669678,0.5882353186607361,0.6607142686843872,0.725806474685669,1.0
beam1000_lp06,250,scaffold_changing,40037,0.48350539279357146,0.12794158731598027,0.06451612710952759,0.3255814015865326,0.3928571343421936,0.47457626461982727,0.5636363625526428,0.6545454263687134,1.0
beam1000_lp06,250,acyclic_non_mmp,519,0.39017596744675626,0.14658150256903138,0.09375,0.2068965584039688,0.26923078298568726,0.3913043439388275,0.4716981053352356,0.557692289352417,0.8837209343910217
beam1000_lp06,500,all_genuine_nonseed,90708,0.5050570136727952,0.14322190740198776,0.019999999552965164,0.32692307233810425,0.4000000059604645,0.49253731966018677,0.6034482717514038,0.7017543911933899,1.0
beam1000_lp06,500,one_cut_mmp_derivative,10433,0.6935718485593316,0.09490356252357786,0.38181817531585693,0.5660377144813538,0.6307692527770996,0.694915235042572,0.7599999904632568,0.8148148059844971,1.0
beam1000_lp06,500,same_scaffold_non_mmp,7645,0.5766629529318987,0.11118603149271726,0.21568627655506134,0.4313725531101227,0.5,0.5806451439857483,0.6515151262283325,0.7142857313156128,1.0
beam1000_lp06,500,scaffold_changing,71665,0.4715501049413278,0.12650472103704963,0.019999999552965164,0.31578946113586426,0.380952388048172,0.46268656849861145,0.5517241358757019,0.640625,1.0
beam1000_lp06,500,acyclic_non_mmp,965,0.38803104085780177,0.1499033685949322,0.09375,0.20000000298023224,0.26923078298568726,0.38596490025520325,0.4727272689342499,0.5882353186607361,0.8837209343910217
beam1000_lp06,1000,all_genuine_nonseed,163782,0.48994274541957505,0.14491581890486277,0.0,0.31313130259513855,0.3835616409778595,0.4776119291782379,0.5873016119003296,0.6909090876579285,1.0
