strategy,budget,chemical_category,pair_rows,distinct_candidate_identities,seed_rows,seed_coverage,fraction_no_harder_than_seed,fraction_not_more_than_half_point_harder,fraction_absolute_delta_within_half_point,fraction_at_least_one_point_easier,fraction_at_least_one_point_harder,candidate_sa_count,candidate_sa_mean,candidate_sa_standard_deviation,candidate_sa_minimum,candidate_sa_q10,candidate_sa_q25,candidate_sa_median,candidate_sa_q75,candidate_sa_q90,candidate_sa_maximum,matched_seed_sa_count,matched_seed_sa_mean,matched_seed_sa_standard_deviation,matched_seed_sa_minimum,matched_seed_sa_q10,matched_seed_sa_q25,matched_seed_sa_median,matched_seed_sa_q75,matched_seed_sa_q90,matched_seed_sa_maximum,delta_sa_count,delta_sa_mean,delta_sa_standard_deviation,delta_sa_minimum,delta_sa_q10,delta_sa_q25,delta_sa_median,delta_sa_q75,delta_sa_q90,delta_sa_maximum
hybrid_b500_s500_t120,250,scaffold_changing_analogue,510000,508964,9929,0.9929,0.2800941176470588,0.821921568627451,0.7910607843137255,0.005258823529411765,0.053994117647058824,510000,3.6518940246589993,0.9254873510588969,1.0,2.4947709044272077,2.9473151775023108,3.562359472219524,4.2720850667440375,4.913620193794868,7.932278686591964,510000,3.446569569522178,0.8887911269473756,1.5357357567113326,2.3660232894573507,2.755519021921481,3.313941452890033,4.031419608748463,4.688839505938612,7.474651401255167,510000,0.20532445513682204,0.4425166223784909,-3.7804714047560335,-0.1881748687655925,-0.01628833410431607,0.12485931229446567,0.3686813560537294,0.7443629101276199,4.3720388773138845
hybrid_b500_s500_t120,250,scaffold_preserving_non_mmp_analogue,72319,71707,7155,0.7155,0.30274201800356754,0.9213899528477993,0.9129827569518384,0.00029038012140654597,0.01250017284531036,72319,3.422035641576685,1.020804096972095,1.5387200973706712,2.263506825855448,2.518560210455143,3.250083502611851,4.1442925971644105,4.950308545625809,6.866030157862557,72319,3.304991100881392,0.9633804863418491,1.5357357567113326,2.238648000684625,2.452252005004098,3.115985005497066,4.021906949513513,4.739186015453628,6.728092177859958,72319,0.11704454069529227,0.265140508666248,-1.5289296187547645,-0.11110550166970423,-0.016721610576923673,0.061778280542987396,0.20563611833828332,0.43638377497227976,2.6291003087327196
hybrid_b500_s500_t120,500,acyclic_non_mmp_analogue,28929,28913,191,0.0191,0.22202634035051333,0.7067648380517819,0.6749628400566905,0.005288810536140206,0.08513947941511978,28929,3.9090196472702354,0.7668923814308494,1.0945154774355945,2.931015486877829,3.3547498694154694,3.911096168399503,4.429940689301304,4.86709817682371,7.550507052979488,28929,3.597918424258466,0.7587523009731822,1.7497386972251707,2.634169273474944,3.0547861897232753,3.5776053000394645,4.129395195073035,4.63719010805347,6.1928962897524364,28929,0.3111012230117692,0.478599184429566,-2.639103070919358,-0.18988538705475208,0.022984615384617157,0.24693692530569855,0.5680862877025765,0.9359045016554932,2.5674969170732043
hybrid_b500_s500_t120,500,one_cut_mmp_derivative,117744,117631,8912,0.8912,0.2529046066041582,0.7738823209675227,0.7561998912895774,0.002361054491099334,0.05875458622095393,117744,3.656907507771796,0.8509959894216572,1.4645403128697438,2.5694239850126612,3.0307060327000683,3.5900411111118053,4.236440345202627,4.824628230647542,7.517239226735507,117744,3.4069333367713663,0.8275421755567979,1.5357357567113326,2.358320192607252,2.7773335282618756,3.313897413370915,3.985853974456889,4.578711242022654,7.474651401255167,117744,0.24997417100042962,0.4082986781149491,-2.1833436178225085,-0.1068010968197976,-3.656892095005304e-05,0.13943782529299575,0.451293527233555,0.8392916656594466,2.315514059930349
hybrid_b500_s500_t120,500,scaffold_changing_analogue,927259,924854,9961,0.9961,0.26146955704932495,0.7900759119081077,0.7580697518169142,0.00562302441928307,0.06667500665941231,927259,3.6976799701651335,0.9297523801357781,1.0,2.53255557121374,2.991950465910185,3.6141377844689373,4.320838076357246,4.962212055137547,7.990171266395389,927259,3.4578769242576652,0.891115233827727,1.5357357567113326,2.370717972571372,2.7647941462867376,3.325829416706026,4.048417789534302,4.702839235955098,7.474651401255167,927259,0.2398030459074684,0.4693227865323134,-4.538668006829428,-0.18855861727093243,-0.006903123708693393,0.1547290384615394,0.4260410563990371,0.8289523542834757,4.3720388773138845
hybrid_b500_s500_t120,500,scaffold_preserving_non_mmp_analogue,114878,113712,7701,0.7701,0.28032347359807797,0.8967165166524487,0.8880725639373944,0.00033949059001723566,0.01706157837009697,114878,3.4667187816802483,1.0335547822213664,1.5387200973706712,2.2840728303564735,2.548733424311333,3.2992250454237335,4.212098730059456,5.014919500585083,6.994313218613404,114878,3.3215073358879317,0.9701236624438228,1.5357357567113326,2.24301421466118,2.458024258982533,3.134451588362735,4.043867898151698,4.753356725756711,6.728092177859958,114878,0.14521144579231582,0.2887511695146343,-2.1660157819761423,-0.10970890129657576,-0.01064854645354818,0.08108788902936492,0.2536150975067999,0.5089118801631379,2.7883259497583612
hybrid_b500_s500_t120,1000,acyclic_non_mmp_analogue,52360,52299,191,0.0191,0.2086898395721925,0.6723644003055768,0.6415393430099312,0.0050611153552330024,0.1023109243697479,52360,3.9494899459547805,0.7589512636623137,1.0945154774355945,2.9781998473475078,3.400779397386416,3.9591545388161573,4.459793209611241,4.8965656490475515,7.731424637703942,52360,3.6010372211322554,0.7571008183431204,1.7497386972251707,2.6392751544987014,3.0547861897232753,3.5801946645028826,4.157608986964736,4.63719010805347,6.1928962897524364,52360,0.34845272482252565,0.49795036679155846,-2.782886460278778,-0.1802445221989208,0.03925067713976027,0.28625146701917625,0.6204276908067632,1.0091247019807728,3.000512960827363
hybrid_b500_s500_t120,1000,one_cut_mmp_derivative,194690,194492,9162,0.9162,0.21861934357183213,0.726025990035441,0.70904514869793,0.002542503467050182,0.07463660177718424,194690,3.704882197267069,0.8529778220217296,1.3907233795896552,2.6152942786168025,3.0796793213292855,3.642103511650636,4.287016065951358,4.871473246874608,7.620687938998525,194690,3.402618899578252,0.8279197993546058,1.5357357567113326,2.357787325421386,2.7713373493876983,3.3059869359769785,3.9846877054590224,4.567804517946047,7.474651401255167,194690,0.3022632976888152,0.42918358158658926,-2.238754872328343,-0.09232054030458867,0.016161773780472677,0.2005434881286865,0.5454260086555913,0.9134997107232424,2.355695910587966
hybrid_b500_s500_t120,1000,scaffold_changing_analogue,1677033,1671881,9982,0.9982,0.2440643684411696,0.7575682768317618,0.7253518565227995,0.005875257076038456,0.08017910202124824,1677033,3.7457025010399865,0.9323016193189394,1.0,2.5729652635870663,3.0418201423880866,3.66833451075402,4.370914325260136,5.0093624287033744,7.997564277533724,1677033,3.4703628429277065,0.8931461722674058,1.5357357567113326,2.377594892906954,2.775931716567653,3.3398824543396692,4.062375655531298,4.7195271504964005,7.474651401255167,1677033,0.27533965811227823,0.49280805915573817,-4.538668006829428,-0.18528158890891516,0.0042491803278679185,0.1869765611216314,0.4861912433101434,0.9071906396034025,4.439231185006191
hybrid_b500_s500_t120,1000,scaffold_preserving_non_mmp_analogue,182363,180183,8196,0.8196,0.25773868602731914,0.8692607601322637,0.860711876860986,0.00036739908863091746,0.022416827974972995,182363,3.5156783443061035,1.0441572134259547,1.5387200973706712,2.3060951966596486,2.5848434562727993,3.354857986025767,4.290770786028897,5.079027129135665,6.994313218613404,182363,3.3399778693080755,0.9779416350260375,1.5357357567113326,2.2536413127398625,2.4683056648790664,3.1571393791313094,4.080276703358965,4.780158940823768,6.81076220666053,182363,0.17570047499802705,0.3094375493975187,-2.1660157819761423,-0.10601478273450765,-0.003113736263736122,0.10542932711134068,0.3053972850678739,0.5793011392184619,2.7883259497583612
